# {"t_start": 1680779560.9536211, "env_id": "AssaultNoFrameskip-v4"} 
r,l,t
378.0,649,12.874737
273.0,411,18.876575
168.0,477,26.180498
273.0,471,33.373481
273.0,468,40.169485
231.0,542,48.688214
336.0,591,58.599004
252.0,592,68.061469
378.0,540,76.584792
399.0,579,86.472301
231.0,576,95.510498
378.0,550,147.530221
252.0,491,154.701495
189.0,362,159.859496
168.0,351,164.837039
357.0,508,172.083791
210.0,358,177.106727
420.0,529,184.195303
189.0,348,188.823551
189.0,544,196.443431
567.0,639,206.038947
252.0,489,212.983713
399.0,581,221.709578
378.0,600,231.293344
231.0,571,289.135286
336.0,637,299.581394
336.0,443,306.700172
294.0,497,314.677166
294.0,444,321.617357
357.0,583,330.871645
378.0,631,339.517328
420.0,637,348.682387
420.0,623,357.11134
336.0,468,363.932664
378.0,615,372.892608
399.0,521,380.367417
189.0,417,430.633846
357.0,697,442.436558
294.0,572,451.878169
525.0,832,465.620181
168.0,257,469.587016
189.0,519,478.226927
294.0,563,487.343075
399.0,653,496.733353
420.0,712,507.136906
294.0,582,515.222153
273.0,475,521.466357
378.0,565,583.6875
567.0,776,595.596473
378.0,547,604.093468
399.0,646,614.895138
609.0,951,631.419626
420.0,736,643.533425
336.0,441,650.886985
420.0,699,661.973276
588.0,734,672.606281
462.0,760,737.053615
703.0,896,751.478697
546.0,793,764.20769
378.0,572,773.090671
640.0,1028,789.258461
588.0,994,805.280808
315.0,402,812.073327
504.0,518,820.658607
420.0,572,829.611397
714.0,936,916.131258
525.0,606,925.417629
745.0,972,940.951587
714.0,1223,960.668019
756.0,1161,979.600738
745.0,993,994.434801
693.0,834,1071.390914
756.0,1004,1086.129258
798.0,874,1098.586878
693.0,938,1113.499074
735.0,869,1127.600082
651.0,898,1141.754386
693.0,813,1155.030497
735.0,806,1167.124294
672.0,994,1261.747341
735.0,772,1273.636017
756.0,961,1288.410446
777.0,795,1300.89834
787.0,932,1314.790538
840.0,905,1328.764344
903.0,964,1343.884052
745.0,873,1428.371491
819.0,1035,1443.284096
756.0,840,1456.375301
756.0,843,1469.536777
850.0,776,1480.731898
777.0,926,1494.072137
766.0,842,1506.351127
798.0,907,1582.499957
