# {"t_start": 1680721143.3679156, "env_id": "AssaultNoFrameskip-v4"} 
r,l,t
399.0,714,11.045635
189.0,685,18.456443
357.0,653,25.88445
273.0,451,31.092662
357.0,589,38.038661
357.0,587,44.705807
252.0,474,50.565058
420.0,547,57.463685
441.0,707,67.041822
294.0,541,74.599184
294.0,459,113.531641
378.0,656,122.265228
231.0,507,129.509037
294.0,481,135.99846
231.0,596,144.613983
231.0,546,152.40757
420.0,628,161.551581
357.0,473,168.845146
336.0,525,176.690331
273.0,540,184.972592
420.0,601,194.344427
252.0,604,203.544692
189.0,568,258.229744
357.0,634,267.469419
357.0,571,275.776358
294.0,611,284.701402
357.0,490,291.820829
399.0,636,301.922031
252.0,473,309.273957
399.0,629,319.153251
336.0,635,329.169833
273.0,571,338.026722
420.0,658,348.320169
315.0,606,401.986649
189.0,442,408.282225
273.0,475,427.117981
462.0,636,494.274326
399.0,634,554.442939
357.0,550,605.106653
231.0,399,651.816838
399.0,742,740.545482
189.0,317,777.028493
399.0,575,843.827061
441.0,603,915.218335
336.0,555,1018.145067
336.0,606,1086.345013
546.0,847,1184.711016
357.0,541,1233.241237
336.0,394,1267.547585
189.0,475,1321.002014
483.0,700,1401.129104
504.0,787,1491.987725
399.0,538,1549.339561
420.0,744,1634.352854
441.0,705,1752.214748
462.0,678,1825.803925
399.0,594,1890.310845
399.0,642,1961.229319
273.0,431,1995.80533
357.0,570,2050.517206
357.0,551,2115.171585
336.0,666,2187.321121
378.0,702,2263.788557
504.0,766,2346.751012
336.0,594,2412.614075
336.0,525,2507.096712
357.0,475,2560.593641
336.0,536,2619.338768
315.0,573,2674.708763
252.0,508,2723.091257
231.0,488,2774.884254
399.0,474,2826.456528
378.0,579,2887.656086
252.0,411,2933.107363
399.0,633,3008.314265
378.0,631,3079.994455
441.0,510,3134.674282
483.0,604,3244.673769
189.0,381,3283.906009
357.0,578,3343.205457
231.0,470,3384.418133
378.0,538,3441.932889
378.0,663,3515.733267
441.0,559,3581.201439
420.0,633,3650.815431
462.0,672,3723.655437
420.0,662,3797.358179
525.0,699,3869.902544
336.0,531,3973.168413
399.0,528,4029.995746
189.0,352,4059.205118
483.0,651,4125.3006
189.0,344,4161.209003
273.0,476,4209.431705
399.0,625,4277.342568
273.0,476,4327.311372
399.0,597,4391.604051
189.0,376,4430.993897
546.0,673,4503.879799
462.0,531,4559.809088
420.0,583,4677.66884
420.0,540,4735.116889
