# {"t_start": 1680793930.6332798, "env_id": "AssaultNoFrameskip-v4"} 
r,l,t
210.0,506,12.711588
168.0,348,17.990242
252.0,585,26.606658
210.0,458,33.40055
378.0,580,42.133363
399.0,657,51.923812
315.0,581,60.65454
210.0,530,68.488754
378.0,606,77.504423
336.0,672,87.453678
315.0,722,98.072333
294.0,645,149.770333
420.0,576,158.253688
399.0,618,167.321651
168.0,416,173.63359
210.0,494,180.98613
336.0,616,190.21668
420.0,603,199.131312
273.0,521,239.979395
231.0,408,271.646383
420.0,612,318.978157
357.0,588,364.874851
315.0,528,447.137442
441.0,651,497.853293
273.0,606,544.332772
441.0,716,600.704276
336.0,641,650.237903
462.0,627,698.825566
441.0,705,753.276748
357.0,648,803.123583
336.0,616,850.958109
252.0,469,887.164163
441.0,627,978.534689
399.0,504,1017.838792
210.0,348,1044.290802
315.0,548,1086.611422
231.0,357,1114.09388
420.0,563,1157.256419
357.0,508,1196.292395
399.0,555,1239.219492
315.0,489,1277.849857
462.0,639,1327.955247
378.0,664,1379.283177
252.0,412,1410.501132
462.0,701,1464.321441
168.0,289,1525.664618
231.0,352,1552.906773
231.0,648,1602.497037
189.0,478,1639.353322
231.0,474,1675.387845
399.0,611,1722.394715
315.0,630,1771.710859
315.0,664,1823.491023
315.0,513,1862.730299
483.0,664,1914.558393
336.0,511,1954.692764
357.0,602,2094.435459
378.0,553,2145.200187
252.0,501,2193.781229
357.0,473,2236.872528
441.0,704,2301.838025
252.0,510,2350.755047
378.0,538,2399.081358
420.0,802,2476.069007
357.0,697,2537.895838
441.0,782,2615.198575
483.0,836,2780.908367
231.0,491,2824.468153
420.0,814,2903.218642
420.0,647,2960.981009
483.0,831,3040.58981
483.0,735,3107.246821
420.0,834,3187.113281
336.0,608,3241.525476
588.0,779,3316.780355
378.0,735,3468.014297
336.0,635,3525.767879
336.0,571,3579.813908
231.0,502,3623.923869
441.0,635,3683.734164
420.0,556,3736.956193
441.0,698,3799.408224
399.0,671,3863.36786
231.0,425,3901.666947
252.0,541,3951.888813
315.0,514,4002.021266
399.0,596,4150.747779
357.0,581,4201.390359
462.0,808,4278.239946
546.0,907,4360.023213
546.0,764,4432.161282
357.0,540,4479.553918
399.0,571,4533.901329
399.0,537,4583.357943
399.0,785,4654.456748
294.0,626,4713.269842
399.0,752,4844.89131
294.0,415,4881.069588
420.0,716,4946.579881
336.0,710,5011.607415
273.0,510,5055.115353
252.0,440,5096.959242
399.0,640,5156.279233
189.0,365,5188.225288
651.0,1252,5305.2969
357.0,741,5452.161255
315.0,626,5511.258585
399.0,781,5584.053968
441.0,703,5647.422613
399.0,580,5702.266741
399.0,771,5770.684648
273.0,585,5826.193136
399.0,639,5884.485776
315.0,613,5940.77824
378.0,685,6004.27864
630.0,1392,6225.708909
682.0,1062,6323.225327
483.0,939,6411.40773
588.0,1250,6524.505296
525.0,959,6611.925341
504.0,1213,6819.568863
525.0,1218,6932.290231
441.0,1088,7033.662771
