# {"t_start": 1680772463.3539793, "env_id": "AsteroidsNoFrameskip-v4"} 
r,l,t
560.0,600,11.432125
430.0,402,16.601303
580.0,578,25.217539
260.0,326,29.655948
780.0,761,40.736985
1130.0,1030,55.84254
530.0,638,65.26025
230.0,344,70.328029
1540.0,2104,141.49253
1640.0,1006,155.815344
1660.0,1060,169.824048
1760.0,1199,185.459592
980.0,826,196.741399
2350.0,1511,218.879561
1300.0,651,296.770608
1080.0,568,304.131015
1180.0,1139,319.463272
1630.0,795,330.389335
880.0,542,338.314225
1180.0,693,348.590219
3000.0,1221,368.676987
1280.0,1436,468.149299
610.0,308,472.575999
1320.0,967,486.422956
680.0,345,491.45632
630.0,463,498.221891
1390.0,884,510.675838
780.0,474,516.971104
710.0,308,520.986799
880.0,464,528.059624
2180.0,751,538.987122
980.0,687,548.685667
2000.0,1122,635.755048
1360.0,1153,651.962156
930.0,417,658.143445
1080.0,568,666.364356
1450.0,1175,683.294423
1180.0,618,692.866435
1180.0,816,705.509235
680.0,409,711.014101
830.0,586,757.71435
1280.0,958,771.843862
1180.0,922,784.222277
1370.0,1291,801.17297
830.0,615,810.01294
1300.0,834,822.084225
1480.0,828,834.006361
1900.0,888,925.589248
1540.0,1096,943.238928
1350.0,899,956.905097
930.0,377,962.530704
1080.0,718,973.351931
1030.0,540,980.969645
2060.0,1065,995.045897
1080.0,800,1005.783807
2080.0,931,1092.739841
880.0,414,1099.271569
980.0,515,1107.163803
980.0,626,1116.385782
1610.0,455,1122.762807
780.0,424,1128.595992
1710.0,1005,1143.464835
1580.0,654,1153.031739
1320.0,642,1163.136935
1560.0,1027,1178.836152
830.0,585,1269.221193
680.0,361,1274.211056
1470.0,752,1285.239523
1590.0,727,1294.405169
1470.0,1288,1312.122977
1300.0,849,1322.901722
1830.0,1072,1337.121333
2350.0,1057,1426.812584
1280.0,989,1442.643108
1980.0,859,1455.502589
2400.0,1567,1479.004047
530.0,356,1484.114736
1300.0,1535,1506.563831
1080.0,568,1515.10281
2180.0,901,1599.990612
780.0,509,1607.286683
1080.0,655,1616.661542
1600.0,835,1628.093743
1130.0,482,1634.822443
380.0,305,1639.322912
730.0,466,1645.782458
1490.0,1453,1666.594276
1300.0,1198,1764.141875
880.0,397,1769.827584
730.0,366,1775.105371
1080.0,450,1781.676537
630.0,467,1788.248643
1280.0,613,1797.144116
1880.0,822,1808.726342
1300.0,795,1819.878378
980.0,532,1827.196563
2210.0,659,1836.025437
1860.0,840,1848.10491
1080.0,762,1896.973764
1350.0,951,1911.930701
1440.0,1416,1931.505499
780.0,448,1937.032524
1470.0,875,1947.874625
1080.0,947,1959.449942
680.0,380,1964.242821
880.0,439,1970.437653
1630.0,1153,2038.168713
1980.0,1079,2056.559144
1280.0,926,2071.383932
1130.0,786,2084.164348
1370.0,742,2094.892316
290.0,504,2101.479614
1420.0,1056,2116.879827
780.0,457,2123.01269
1130.0,1159,2215.622438
1280.0,628,2225.203423
1030.0,520,2233.588162
1080.0,700,2242.794055
1280.0,566,2250.320933
1320.0,1071,2264.926389
980.0,653,2273.649984
1300.0,829,2287.46529
1530.0,697,2378.680003
1180.0,740,2389.136938
1520.0,1187,2406.537279
1340.0,1166,2423.666445
880.0,524,2431.863261
980.0,476,2439.32936
1280.0,771,2451.036299
2450.0,990,2466.424475
1300.0,619,2517.181339
1370.0,808,2528.662312
1610.0,1175,2547.003132
2200.0,1179,2565.40897
1510.0,929,2580.111561
1080.0,437,2587.066537
1300.0,730,2599.158007
880.0,643,2690.049922
1180.0,616,2699.130198
2200.0,1213,2716.72619
510.0,278,2720.779203
730.0,379,2726.325195
2650.0,1533,2749.218176
1280.0,713,2760.533976
1930.0,1345,2781.842391
1490.0,717,2833.025461
1280.0,948,2847.659288
1410.0,962,2861.578726
1350.0,992,2876.050939
780.0,458,2882.627538
630.0,452,2889.78607
780.0,362,2895.582634
1560.0,1106,2913.8518
1280.0,567,2968.716509
1320.0,728,2980.051281
630.0,349,2984.642467
630.0,514,2991.712999
1340.0,949,3004.03139
1180.0,476,3010.639614
1300.0,912,3023.19218
3600.0,1388,3041.915679
1300.0,693,3051.660462
2150.0,761,3102.896427
1030.0,470,3110.713936
1130.0,578,3120.117431
1900.0,733,3132.613801
580.0,481,3140.382116
1030.0,833,3154.238549
2010.0,779,3165.722225
1490.0,777,3177.284429
880.0,507,3185.106493
880.0,465,3191.223146
980.0,421,3232.312994
1440.0,631,3241.880109
880.0,445,3248.882974
1300.0,895,3261.968479
1080.0,578,3270.51423
1280.0,805,3283.442253
2230.0,1301,3304.344435
730.0,367,3310.348979
1180.0,556,3318.971704
880.0,379,3324.683004
1350.0,1359,3391.401501
630.0,355,3396.952326
830.0,509,3405.016727
930.0,645,3415.203829
630.0,387,3421.290826
680.0,342,3426.261341
1640.0,923,3440.702498
730.0,357,3446.141481
1710.0,864,3459.314841
1300.0,683,3469.034764
1680.0,911,3516.198383
1180.0,867,3529.364787
1280.0,796,3540.831925
1540.0,606,3549.523709
560.0,295,3553.698823
1420.0,751,3564.888568
1370.0,1008,3579.162239
1280.0,827,3591.415078
730.0,373,3596.895919
880.0,409,3629.155543
1440.0,1254,3648.603264
1610.0,569,3657.718725
1280.0,884,3672.608327
280.0,278,3677.080655
1610.0,753,3688.735338
830.0,471,3696.362241
1350.0,795,3709.172687
2000.0,981,3724.61911
1280.0,506,3761.70064
1300.0,534,3768.59647
880.0,413,3774.321111
530.0,461,3780.528239
1980.0,1095,3795.211545
1420.0,738,3805.6744
1810.0,549,3813.421938
1950.0,757,3824.910288
1370.0,928,3838.692604
1280.0,822,3914.361215
1280.0,544,3921.960918
1530.0,1043,3936.948563
1080.0,626,3945.579663
1030.0,526,3952.996833
1300.0,654,3962.377196
980.0,445,3968.90867
930.0,635,3977.628264
930.0,624,3987.028133
2450.0,801,3999.405573
1930.0,773,4038.895655
830.0,307,4043.447141
980.0,578,4052.030098
1300.0,950,4066.343464
2050.0,731,4076.973002
1510.0,1014,4091.354756
1520.0,539,4098.468217
1080.0,476,4105.088849
2080.0,966,4118.576273
1500.0,579,4180.333151
780.0,586,4189.328213
980.0,400,4195.130938
1350.0,558,4203.462183
1910.0,721,4214.398537
930.0,411,4220.653808
1080.0,471,4227.777453
1610.0,911,4241.785541
980.0,411,4247.907105
1470.0,705,4258.081164
1180.0,530,4265.466627
980.0,413,4340.818516
1080.0,593,4349.337031
780.0,420,4355.796368
1470.0,863,4368.569342
