# {"t_start": 1680811932.063758, "env_id": "AsteroidsNoFrameskip-v4"} 
r,l,t
380.0,708,18.757654
430.0,595,26.096201
580.0,424,31.659312
380.0,522,38.721993
1930.0,2839,76.675891
1080.0,810,86.598746
1080.0,1099,140.13959
1560.0,1234,157.364212
1280.0,1125,173.181501
960.0,619,181.976356
1030.0,609,190.446241
1780.0,1078,205.679522
930.0,572,213.860033
680.0,514,296.784454
1880.0,1453,317.283819
1510.0,770,327.986463
1350.0,1166,344.347308
1280.0,1069,359.277541
1520.0,1061,374.053436
830.0,357,379.059563
1580.0,836,429.056125
1610.0,1013,442.974151
1130.0,823,454.13828
980.0,501,460.858284
1530.0,797,471.731881
980.0,452,478.101361
980.0,551,485.650219
930.0,615,494.019038
530.0,415,499.546388
1450.0,1239,553.20694
1620.0,559,560.317734
1690.0,1486,579.530374
1030.0,294,583.235046
1080.0,684,592.047548
