# {"t_start": 1681213615.912811, "env_id": "AsteroidsNoFrameskip-v4"} 
r,l,t
1900.0,2210,33.365454
180.0,363,38.186373
930.0,816,48.477737
730.0,681,56.88007
980.0,494,63.091987
1730.0,1330,80.341329
1280.0,1205,164.66402
730.0,526,171.507849
580.0,382,176.487492
730.0,324,180.674637
230.0,347,185.031872
1080.0,487,191.313053
1750.0,1087,213.18378
1420.0,1605,360.440439
1370.0,515,403.061073
1810.0,1544,596.26461
380.0,419,631.853336
1760.0,1386,749.156507
980.0,550,794.468172
1180.0,769,857.869123
1460.0,933,936.091959
630.0,323,962.274651
380.0,459,1000.066838
1280.0,512,1074.341309
1320.0,655,1133.763782
1780.0,958,1215.884144
880.0,446,1259.974348
1080.0,679,1317.288396
1470.0,991,1407.295709
1740.0,902,1489.205078
1830.0,893,1566.83922
1180.0,730,1686.885281
780.0,418,1723.183908
3460.0,1403,1842.269722
780.0,388,1873.7359
830.0,473,1912.540467
1660.0,932,1989.221616
1440.0,774,2054.960444
780.0,449,2093.213571
2000.0,949,2173.995305
1080.0,336,2201.197807
730.0,342,2284.937632
1900.0,775,2350.979274
1690.0,1216,2452.89943
1300.0,613,2503.904203
980.0,458,2541.893994
480.0,416,2576.116972
1610.0,708,2634.632302
1830.0,1195,2734.938252
780.0,462,2774.260063
480.0,328,2863.041212
1950.0,984,2948.04028
680.0,350,2976.521053
830.0,459,3013.94547
1030.0,605,3064.281664
1180.0,583,3112.045427
1180.0,481,3151.416542
1130.0,321,3177.274828
1850.0,975,3257.632955
1180.0,619,3309.267156
1320.0,785,3374.453157
1710.0,715,3497.747365
930.0,604,3550.984876
1440.0,1151,3646.894044
1680.0,876,3719.884351
980.0,448,3756.738869
1180.0,511,3798.551643
1490.0,766,3861.625049
580.0,501,3902.530906
1700.0,820,3969.615278
1280.0,1036,4095.320774
2230.0,1075,4190.489593
2850.0,1304,4304.126105
1370.0,1048,4391.277117
1350.0,1001,4473.647521
1630.0,946,4607.536971
1180.0,540,4651.832624
1180.0,837,4723.537287
1600.0,1398,4841.188746
1340.0,685,4900.919051
2230.0,879,4978.50287
480.0,345,5006.93547
610.0,416,5040.985636
680.0,254,5061.400309
930.0,532,5105.453353
1630.0,742,5202.844401
410.0,320,5228.843266
610.0,361,5257.95176
2080.0,910,5340.292592
610.0,317,5369.16298
930.0,376,5403.040342
1510.0,847,5481.23666
880.0,403,5518.2298
1390.0,878,5602.69289
980.0,419,5642.530692
1180.0,777,5716.433083
1080.0,425,5755.655646
1030.0,486,5840.218624
1480.0,707,5907.922449
880.0,483,5954.767295
1590.0,536,6006.558683
1360.0,1348,6130.462173
1300.0,911,6215.605919
1030.0,418,6254.62424
580.0,385,6291.269466
1180.0,784,6365.481147
780.0,419,6473.967114
1960.0,979,6564.612912
1080.0,470,6608.414026
1860.0,1042,6708.748291
1540.0,1270,6830.571836
1830.0,1165,6939.006905
1370.0,880,7023.224186
1560.0,870,7133.020169
680.0,362,7167.175434
1950.0,940,7257.402852
1540.0,819,7334.646898
1730.0,942,7422.005178
930.0,462,7464.199697
560.0,360,7496.890396
2330.0,1114,7600.134052
1640.0,1288,7755.47688
1080.0,549,7805.032162
980.0,409,7842.284189
1180.0,640,7900.143248
1080.0,503,7946.597406
1180.0,638,8007.152676
780.0,411,8045.643353
1280.0,580,8099.313092
2000.0,1357,8223.727888
1300.0,630,8281.171519
1370.0,1221,8467.057228
