# {"t_start": 1680930134.4491723, "env_id": "CarnivalNoFrameskip-v4"} 
r,l,t
860.0,337,12.542419
880.0,368,16.339893
620.0,406,20.620815
640.0,418,25.085004
540.0,396,29.237748
420.0,389,33.378023
580.0,323,36.860662
880.0,388,41.069048
1060.0,437,45.736259
1440.0,301,49.046018
480.0,414,53.437607
680.0,468,58.48345
480.0,354,62.316375
540.0,401,66.699129
640.0,443,71.394744
940.0,402,75.686692
440.0,381,137.672975
740.0,357,141.514462
700.0,318,144.986006
540.0,424,149.515118
1140.0,432,154.055584
540.0,408,158.370829
640.0,440,163.060653
940.0,435,167.846266
620.0,432,172.766125
540.0,383,177.221898
820.0,405,181.841565
600.0,415,186.603758
480.0,331,190.350924
1100.0,449,195.442334
840.0,350,199.413336
1280.0,463,261.079319
740.0,403,265.498616
700.0,468,270.708231
740.0,367,274.578016
440.0,371,278.496284
980.0,464,283.328027
520.0,425,287.882555
680.0,405,292.123509
1540.0,433,296.662317
360.0,529,302.414623
720.0,422,307.045382
680.0,399,311.36185
980.0,403,315.622554
860.0,311,318.797349
660.0,321,322.341015
360.0,356,326.113609
780.0,309,389.782433
580.0,389,393.747532
440.0,421,398.234501
460.0,425,402.766673
1000.0,403,407.055495
820.0,465,412.038487
420.0,385,416.120159
420.0,379,420.165391
1400.0,375,424.201344
1100.0,366,428.080457
940.0,494,433.233786
1060.0,320,436.564752
1060.0,432,441.02667
480.0,395,445.241368
380.0,301,448.392919
380.0,436,453.042519
420.0,416,502.463244
900.0,456,507.248312
1540.0,387,511.339856
840.0,413,515.589895
920.0,398,519.700216
740.0,377,523.631479
1060.0,365,527.440894
500.0,377,531.447385
480.0,355,535.150328
540.0,404,539.356278
680.0,402,543.523154
620.0,416,547.817665
640.0,405,552.040777
340.0,385,556.164953
1460.0,387,560.242419
740.0,408,564.550165
1160.0,355,623.286021
1640.0,730,631.130275
680.0,430,635.585891
820.0,461,640.467629
940.0,455,645.164975
780.0,451,649.966823
540.0,378,654.104777
400.0,294,657.256935
1180.0,432,661.787676
560.0,408,666.157165
540.0,391,670.37111
720.0,453,675.094531
740.0,575,681.209162
1120.0,534,745.364747
460.0,324,748.794081
1000.0,357,752.573336
1020.0,418,756.947573
820.0,364,760.777533
820.0,562,766.790663
1100.0,372,770.690574
720.0,348,774.358742
560.0,362,778.246948
980.0,455,782.962605
680.0,362,786.764373
600.0,316,790.347737
1640.0,470,795.652764
1160.0,485,801.296048
1780.0,469,806.803124
1020.0,514,812.704621
1540.0,367,855.185406
660.0,315,858.479295
640.0,371,862.419384
600.0,426,866.705952
820.0,380,870.625242
260.0,434,875.210348
1060.0,441,879.775183
620.0,388,883.737741
1120.0,392,887.885823
1000.0,360,891.728541
880.0,351,895.313602
520.0,403,899.664519
420.0,339,903.225257
1360.0,444,908.099635
820.0,448,912.929848
720.0,470,918.060889
1200.0,385,966.362634
1140.0,396,970.636566
860.0,403,974.888463
760.0,478,980.047678
1040.0,553,985.978045
900.0,374,989.94569
840.0,429,994.583742
660.0,492,999.903451
1320.0,489,1005.209855
880.0,350,1009.202813
1540.0,367,1013.339648
480.0,360,1017.328624
500.0,372,1021.582103
120.0,398,1026.003361
480.0,433,1030.687516
1040.0,363,1082.166193
1220.0,481,1087.408367
560.0,461,1092.729264
700.0,405,1097.320693
660.0,465,1102.66639
1040.0,426,1107.62762
1100.0,408,1112.297115
780.0,463,1117.635792
920.0,398,1122.219613
1140.0,409,1126.859003
800.0,409,1131.418282
1040.0,506,1137.087898
940.0,396,1141.530365
440.0,320,1145.162684
460.0,393,1213.924246
1200.0,524,1219.927758
500.0,420,1224.712631
1580.0,450,1229.949452
380.0,426,1234.88755
1860.0,425,1239.801035
1060.0,667,1247.344297
1080.0,334,1251.097216
1080.0,793,1259.848619
880.0,491,1265.429535
820.0,322,1268.972686
700.0,464,1274.269575
980.0,451,1279.331748
540.0,444,1284.30181
860.0,449,1346.448213
800.0,361,1350.501693
1100.0,473,1355.788036
540.0,388,1360.147909
1200.0,394,1364.458459
860.0,383,1368.773591
780.0,768,1377.425286
600.0,343,1381.393219
980.0,485,1387.06326
660.0,507,1393.023972
1100.0,555,1399.443715
720.0,357,1403.557011
560.0,479,1409.123529
540.0,394,1460.068825
920.0,476,1465.616965
0.0,384,1470.049264
480.0,356,1474.171566
780.0,988,1485.670922
720.0,364,1489.929975
1040.0,406,1494.502927
1000.0,959,1505.422337
660.0,483,1510.857156
1000.0,325,1514.61899
1440.0,739,1523.165167
1020.0,525,1529.222195
940.0,631,1582.879806
1140.0,416,1587.872301
940.0,507,1593.900663
1220.0,445,1599.160964
1240.0,380,1603.724222
680.0,467,1609.337229
780.0,600,1616.55195
420.0,406,1621.432
920.0,405,1626.277628
1420.0,466,1631.861915
1080.0,620,1639.406505
980.0,377,1643.891237
1080.0,467,1649.424008
480.0,321,1653.209501
500.0,405,1693.951379
440.0,487,1699.779366
440.0,336,1703.738231
540.0,368,1708.09008
460.0,305,1711.755549
440.0,410,1716.609778
540.0,362,1720.828964
480.0,284,1724.143092
560.0,380,1728.61047
500.0,407,1733.369823
420.0,295,1736.808418
880.0,390,1741.41525
840.0,309,1745.118777
420.0,418,1750.069278
480.0,413,1755.022326
520.0,422,1760.031036
440.0,421,1827.143284
600.0,456,1832.747465
540.0,365,1837.129881
540.0,397,1841.848726
460.0,395,1846.56962
480.0,401,1851.297632
460.0,421,1856.168364
420.0,342,1860.155905
340.0,397,1864.867071
620.0,399,1869.563617
520.0,430,1874.660877
420.0,399,1879.366759
500.0,391,1883.972989
740.0,423,1888.919564
740.0,360,1893.198094
420.0,417,1898.067318
480.0,401,1933.110792
1020.0,392,1937.693021
920.0,458,1942.924426
420.0,429,1947.958713
480.0,411,1952.737404
520.0,316,1956.4377
540.0,409,1961.18515
540.0,400,1965.823271
480.0,397,1970.453277
480.0,412,1975.322335
480.0,373,1979.746976
540.0,400,1984.473395
680.0,413,1989.365002
400.0,390,1994.061054
540.0,403,1998.873588
680.0,301,2002.390452
1280.0,415,2043.483425
2180.0,401,2048.191991
680.0,417,2052.960337
540.0,394,2057.604131
680.0,356,2061.766766
680.0,410,2066.59342
320.0,284,2069.853591
400.0,409,2074.625257
640.0,310,2078.196149
840.0,381,2082.681586
1640.0,406,2087.458681
620.0,413,2092.326224
940.0,443,2097.598911
860.0,411,2102.417067
1120.0,500,2108.450644
440.0,401,2113.345619
1920.0,455,2176.626478
1620.0,448,2181.81535
500.0,353,2185.931451
840.0,370,2190.149668
700.0,414,2194.944635
700.0,408,2199.572123
680.0,415,2204.312333
500.0,361,2208.460358
1480.0,400,2213.047978
2280.0,427,2218.096697
1040.0,441,2223.251791
680.0,335,2227.16331
1060.0,432,2232.223684
1740.0,372,2236.543355
680.0,371,2240.867481
1140.0,377,2245.265802
640.0,413,2279.857046
1740.0,355,2283.945885
680.0,421,2288.904751
1140.0,415,2293.737047
3140.0,413,2298.429384
1140.0,411,2303.267085
1740.0,420,2308.218431
1940.0,405,2312.973933
2700.0,420,2317.89274
1140.0,414,2322.839915
1740.0,387,2327.432862
1140.0,379,2331.887012
3340.0,405,2336.591456
2100.0,376,2341.029554
1340.0,405,2345.838124
3880.0,418,2376.63255
940.0,410,2381.526976
2740.0,407,2386.292549
3280.0,439,2391.385403
3080.0,296,2394.933852
840.0,420,2399.874846
1940.0,406,2404.651654
2480.0,425,2409.54351
3340.0,367,2413.826587
3280.0,412,2418.620497
1700.0,383,2423.104562
3940.0,270,2426.327262
2740.0,408,2431.13825
2740.0,416,2436.030007
1140.0,406,2440.787164
2540.0,409,2445.629095
2080.0,418,2476.797099
3140.0,265,2479.973523
3340.0,415,2484.871586
2740.0,419,2489.780453
3340.0,410,2494.689594
2700.0,424,2499.733065
2340.0,366,2503.965965
2140.0,412,2508.859896
2680.0,385,2513.436573
3280.0,360,2517.748605
2620.0,389,2522.225531
3940.0,360,2526.429535
2940.0,291,2529.838766
2680.0,420,2534.779701
3280.0,407,2539.581123
3340.0,388,2544.035299
2640.0,417,2578.427733
2140.0,419,2583.230242
2740.0,421,2588.155261
2740.0,411,2592.97094
3900.0,415,2597.848374
2740.0,415,2602.767524
4340.0,363,2606.962813
2680.0,413,2611.868653
3280.0,362,2616.050744
3340.0,379,2620.519584
4140.0,281,2623.822718
3340.0,384,2628.386755
3280.0,414,2633.193014
3340.0,363,2637.403943
3340.0,364,2641.748709
3940.0,415,2646.544672
3340.0,408,2651.300511
2100.0,415,2680.78843
3880.0,354,2684.958208
3280.0,363,2689.301432
2740.0,353,2693.423075
3280.0,416,2698.293294
3340.0,363,2702.555166
3340.0,367,2706.904491
3540.0,414,2711.772361
2080.0,387,2716.331242
4290.0,384,2720.925725
3940.0,420,2725.942636
2680.0,427,2731.034518
3340.0,349,2735.22781
3340.0,364,2739.592338
3340.0,383,2744.126304
4740.0,291,2747.577781
1080.0,422,2781.649621
3940.0,410,2786.572076
3690.0,376,2791.176268
3340.0,409,2796.106168
3280.0,410,2801.048175
1540.0,417,2806.104827
3880.0,372,2810.557764
3280.0,362,2814.854185
4340.0,250,2817.867059
3280.0,406,2822.680652
3900.0,415,2827.524584
4540.0,400,2832.191885
3900.0,365,2836.371377
3540.0,287,2839.674664
4840.0,288,2843.043374
4290.0,265,2846.15016
2700.0,420,2851.086582
4390.0,242,2853.895144
700.0,411,2886.716528
3260.0,407,2891.385759
2890.0,292,2894.694267
3540.0,281,2897.93328
3490.0,296,2901.393152
2680.0,411,2906.084069
3940.0,418,2911.036565
2740.0,304,2914.668954
3340.0,383,2919.141911
