# {"t_start": 1681378566.299092, "env_id": "CarnivalNoFrameskip-v4"} 
r,l,t
480.0,358,8.816198
1040.0,396,13.719827
480.0,391,18.923971
360.0,400,24.266929
460.0,409,29.915174
560.0,416,35.876076
460.0,405,41.573822
720.0,416,47.511784
920.0,394,53.345388
440.0,383,58.889393
600.0,400,64.710762
1060.0,557,72.770577
740.0,447,79.57949
480.0,454,86.694776
480.0,435,93.399338
480.0,375,186.878696
1140.0,360,193.578583
420.0,396,200.872149
1380.0,402,208.458457
740.0,504,218.063228
380.0,384,225.395438
420.0,411,233.184407
640.0,406,241.124837
1100.0,446,249.623491
480.0,357,256.688804
400.0,431,264.788386
1080.0,407,272.57898
800.0,310,278.476506
360.0,335,284.732405
620.0,381,292.068074
660.0,467,406.634884
740.0,436,415.031646
1080.0,529,425.071771
600.0,422,432.998265
800.0,426,440.891983
600.0,396,448.226725
820.0,410,455.971695
1020.0,346,462.417944
640.0,427,470.291845
1060.0,577,480.835932
1060.0,409,488.376633
1000.0,448,496.844629
980.0,501,506.240275
320.0,424,514.257569
1400.0,449,522.556058
920.0,442,640.008163
820.0,376,646.984613
1080.0,318,652.88772
1180.0,412,660.476477
740.0,328,666.671214
340.0,553,676.75988
980.0,394,684.079217
1560.0,742,697.850493
1040.0,316,703.764348
800.0,354,710.432711
820.0,399,717.705745
1300.0,1071,737.678392
880.0,423,745.812187
1660.0,836,867.760819
1040.0,419,875.614226
960.0,362,882.460699
520.0,471,891.071115
840.0,392,898.614527
820.0,341,904.852417
700.0,542,915.540822
1060.0,450,924.120323
440.0,340,930.545217
880.0,414,938.969687
500.0,350,945.7724
1140.0,573,956.798526
680.0,381,964.198478
560.0,368,971.37831
980.0,482,1055.263306
960.0,561,1065.740308
960.0,455,1074.234917
1020.0,505,1083.638478
680.0,358,1090.302095
500.0,386,1097.597402
1080.0,392,1105.243205
700.0,385,1112.794067
1300.0,602,1124.181602
960.0,446,1132.744944
0.0,402,1140.384464
1140.0,362,1147.573034
1060.0,548,1158.121595
840.0,484,1167.109854
40.0,414,1276.605942
740.0,443,1284.907971
860.0,403,1292.542667
1100.0,634,1304.575281
760.0,494,1314.082663
800.0,720,1327.782134
1080.0,391,1335.171914
540.0,391,1342.589439
1060.0,436,1350.91065
740.0,534,1360.993205
760.0,427,1369.102266
660.0,474,1378.376848
1220.0,381,1385.565489
800.0,435,1502.414365
1140.0,491,1511.990557
420.0,603,1523.553434
860.0,482,1532.578491
280.0,415,1540.558408
1080.0,480,1549.683678
700.0,426,1557.704287
600.0,359,1564.436836
700.0,454,1572.9047
180.0,328,1578.976604
780.0,382,1585.997038
1160.0,423,1593.926706
0.0,380,1601.012822
640.0,440,1609.085607
1120.0,311,1614.705744
1200.0,508,1710.855308
1340.0,436,1719.22141
800.0,339,1725.569074
700.0,367,1732.518728
820.0,411,1740.28934
1060.0,378,1747.462349
840.0,384,1754.470528
1020.0,366,1761.272645
0.0,388,1768.638716
920.0,329,1774.831805
320.0,429,1782.953227
1000.0,413,1790.689613
1080.0,604,1801.935355
540.0,422,1810.029413
1120.0,642,1925.223292
1160.0,518,1934.693753
840.0,465,1943.276088
1060.0,356,1950.036037
720.0,545,1960.418153
720.0,388,1967.625985
760.0,454,1976.103877
500.0,405,1983.636279
960.0,461,1992.2817
780.0,463,2000.780876
1060.0,496,2010.019042
1000.0,450,2018.51175
1020.0,568,2029.22461
1060.0,450,2037.717801
580.0,693,2160.740728
900.0,307,2166.764282
1280.0,613,2178.181938
960.0,530,2188.050534
960.0,329,2194.096214
980.0,378,2201.193738
640.0,379,2208.204969
980.0,406,2215.815319
1100.0,354,2222.402931
1140.0,399,2230.064784
580.0,424,2238.026608
1040.0,485,2247.299027
1200.0,428,2255.562363
1160.0,752,2269.971122
800.0,416,2379.287138
960.0,561,2389.728966
780.0,415,2397.468898
1000.0,433,2405.560256
1020.0,375,2412.69359
1000.0,773,2427.774946
1000.0,533,2438.098113
520.0,384,2445.366171
1180.0,395,2452.910599
1420.0,622,2464.647972
820.0,466,2473.35906
860.0,381,2480.538292
800.0,360,2487.263768
980.0,448,2594.811988
980.0,464,2603.510608
1100.0,423,2611.717813
1020.0,448,2620.09886
980.0,403,2627.841822
820.0,389,2635.419388
1320.0,537,2645.676766
840.0,499,2655.42047
1040.0,372,2662.445334
940.0,384,2669.641519
840.0,350,2675.989615
1200.0,506,2685.282804
1060.0,416,2692.810239
960.0,500,2701.827965
740.0,359,2774.434196
920.0,380,2781.413856
