# {"t_start": 1680811890.86314, "env_id": "CarnivalNoFrameskip-v4"} 
r,l,t
680.0,372,12.202771
580.0,574,19.420726
600.0,720,28.43828
1000.0,346,32.754566
840.0,675,41.299319
560.0,383,46.548225
1040.0,575,54.412765
1460.0,453,61.194441
960.0,358,66.332621
620.0,436,72.604851
760.0,369,78.02618
500.0,463,84.640154
800.0,395,90.37079
1200.0,759,176.487954
820.0,497,183.864627
700.0,475,190.618927
1600.0,437,196.872105
440.0,420,203.1351
700.0,385,208.830447
600.0,393,214.626769
1140.0,425,220.806422
980.0,381,226.256071
400.0,381,231.969243
980.0,346,237.035567
740.0,396,242.825341
460.0,456,249.53486
660.0,417,255.699693
940.0,411,343.669519
1020.0,415,349.749368
400.0,358,355.070832
920.0,385,360.654207
1980.0,401,366.551221
820.0,362,371.76713
900.0,450,378.281278
940.0,366,383.473207
940.0,429,389.676165
1120.0,557,397.629298
480.0,416,403.549582
680.0,416,409.536728
520.0,426,415.781664
540.0,371,421.192651
620.0,392,426.610607
500.0,412,509.757183
540.0,313,514.358103
400.0,405,520.214186
540.0,408,526.051203
360.0,397,531.743941
540.0,416,537.754866
620.0,409,543.593882
740.0,288,547.730154
740.0,410,553.488419
480.0,408,559.234976
540.0,415,565.223214
680.0,356,570.30593
480.0,385,575.772568
540.0,302,580.193456
500.0,424,586.205767
500.0,410,592.365746
480.0,410,598.468063
