# {"t_start": 1681141543.9465435, "env_id": "CarnivalNoFrameskip-v4"} 
r,l,t
460.0,357,9.773964
540.0,410,15.061223
740.0,370,19.754555
540.0,412,24.982825
420.0,302,28.738687
500.0,396,33.601887
780.0,389,38.360305
900.0,422,43.712298
1540.0,517,50.23887
1100.0,419,55.491883
760.0,465,61.366556
820.0,380,65.955379
540.0,414,70.811962
1220.0,456,76.271098
780.0,329,80.146628
480.0,359,150.942553
680.0,566,157.996799
480.0,371,162.757687
940.0,364,167.27185
880.0,428,172.560941
760.0,710,181.318787
880.0,461,187.093777
1180.0,384,191.786124
820.0,336,195.928289
1160.0,595,246.692209
1340.0,455,287.607448
420.0,311,316.553903
780.0,446,355.632589
980.0,445,394.074126
1000.0,923,528.106062
1340.0,408,563.453772
760.0,400,599.256997
460.0,356,629.488891
1380.0,403,664.085045
740.0,410,698.75107
1620.0,417,733.657841
520.0,431,770.012612
460.0,412,804.551718
460.0,410,839.130592
500.0,378,871.279706
460.0,365,903.036119
900.0,421,939.055398
1380.0,808,1007.00991
620.0,404,1099.484001
1300.0,562,1147.059016
1300.0,451,1187.154334
900.0,351,1217.731226
880.0,532,1263.111432
800.0,390,1296.071909
1140.0,413,1330.922199
940.0,564,1379.087962
980.0,321,1405.886008
820.0,385,1438.329775
740.0,458,1478.249441
660.0,404,1513.663758
680.0,527,1558.288391
1040.0,376,1590.004041
800.0,474,1674.896299
800.0,397,1708.850744
780.0,399,1742.734098
540.0,359,1773.288883
920.0,418,1809.983717
700.0,466,1851.245498
640.0,452,1890.184753
500.0,415,1924.806891
1240.0,395,1958.174709
460.0,420,1993.577281
980.0,390,2027.019941
680.0,402,2062.384958
1160.0,429,2100.043174
420.0,427,2135.77822
740.0,393,2169.151661
400.0,419,2244.442463
380.0,407,2278.683741
680.0,376,2310.522371
560.0,445,2348.508671
740.0,394,2382.478695
1140.0,422,2418.702941
1220.0,403,2454.409793
620.0,403,2489.603045
1220.0,367,2520.479302
1040.0,398,2554.188952
960.0,944,2634.395577
840.0,356,2665.637266
880.0,387,2698.638185
640.0,363,2729.597567
760.0,437,2817.296279
720.0,393,2850.283777
480.0,324,2877.315393
700.0,412,2911.9237
440.0,467,2951.234532
920.0,400,2984.95806
680.0,379,3017.140358
1080.0,364,3049.253628
1080.0,1143,3147.753395
1140.0,375,3179.85225
740.0,421,3216.462995
1100.0,430,3254.697384
520.0,426,3291.19463
740.0,337,3319.91783
660.0,487,3406.489768
960.0,424,3442.753591
1020.0,898,3519.639295
760.0,379,3551.639656
840.0,375,3583.121983
620.0,466,3622.390751
560.0,379,3655.352623
680.0,414,3691.852637
540.0,381,3724.248344
680.0,357,3754.397963
460.0,405,3788.688657
460.0,432,3827.015718
420.0,379,3859.847948
1060.0,388,3892.324074
800.0,367,3923.310758
400.0,421,4018.751321
720.0,410,4053.440687
920.0,1053,4144.552896
1220.0,450,4183.580537
440.0,371,4215.42991
860.0,421,4251.365855
740.0,406,4287.117387
740.0,462,4327.018132
640.0,401,4360.31236
1020.0,384,4393.69198
440.0,314,4421.427418
980.0,382,4453.973174
760.0,373,4485.036649
500.0,404,4519.331977
1140.0,422,4610.54823
700.0,449,4648.008234
680.0,471,4687.698938
480.0,386,4720.157698
620.0,383,4752.211345
460.0,404,4786.171719
