# {"t_start": 1680885014.2928035, "env_id": "MsPacmanNoFrameskip-v4"} 
r,l,t
2730.0,817,5.779332
11340.0,1332,13.163929
160.0,298,14.715621
630.0,669,18.127371
210.0,396,20.168798
1280.0,1707,40.427337
980.0,754,106.513794
1320.0,1957,276.645312
880.0,616,331.182351
430.0,594,383.113383
1320.0,1654,530.128446
780.0,878,606.377822
1080.0,787,674.453176
980.0,1166,775.640754
830.0,676,834.017928
1300.0,2370,1044.847801
830.0,1341,1160.911858
730.0,612,1214.46397
630.0,819,1286.246682
1300.0,1294,1399.028519
360.0,521,1445.40113
980.0,1084,1539.663376
1350.0,1576,1676.892223
780.0,517,1721.04081
240.0,363,1751.231045
530.0,578,1800.308501
1130.0,868,1877.265808
510.0,666,1937.397489
1180.0,1206,2041.652425
780.0,1085,2138.970467
1300.0,1751,2290.761862
1080.0,816,2360.936145
1410.0,1863,2523.173827
580.0,668,2580.472825
530.0,449,2620.634997
480.0,645,2675.823426
360.0,500,2719.41951
1410.0,2180,2915.104309
1320.0,990,3000.171307
980.0,1161,3102.674409
260.0,287,3126.601431
360.0,796,3195.382315
430.0,655,3252.930684
1300.0,1611,3394.992567
830.0,574,3445.088563
1440.0,1676,3593.067132
630.0,857,3667.707145
830.0,716,3730.13052
1320.0,1287,3841.090453
380.0,383,3874.014287
360.0,415,3910.38667
680.0,549,3958.284592
410.0,591,4009.287293
680.0,642,4065.736431
1460.0,1316,4182.519647
530.0,615,4234.765427
780.0,710,4296.7562
260.0,464,4337.571397
930.0,383,4371.266694
630.0,771,4437.853601
580.0,549,4485.512447
1370.0,1714,4639.689404
730.0,1207,4747.64695
1390.0,1403,4868.472812
980.0,857,4942.512064
530.0,714,5003.889591
880.0,747,5067.811436
980.0,1946,5238.225917
980.0,894,5317.423949
480.0,640,5375.441593
1420.0,2317,5577.616183
1390.0,2669,5808.741014
930.0,660,5866.237946
280.0,406,5902.886875
980.0,1026,5994.296358
680.0,457,6034.886601
1280.0,2247,6232.346332
380.0,528,6278.155018
580.0,510,6322.950485
730.0,690,6381.647023
510.0,464,6421.483302
580.0,711,6482.57145
730.0,694,6541.4815
530.0,575,6591.480142
330.0,560,6641.436546
630.0,492,6686.050603
1080.0,1486,6815.151775
830.0,1078,6905.509586
260.0,312,6930.573655
1180.0,1121,7023.47999
1280.0,1797,7173.778838
830.0,928,7253.155948
630.0,522,7299.391307
1280.0,1446,7420.349074
930.0,805,7486.948503
930.0,633,7539.606878
1320.0,1936,7700.098427
980.0,1299,7806.705237
1340.0,1474,7930.701309
160.0,305,7954.968765
660.0,505,7994.07071
360.0,552,8037.846012
830.0,724,8094.226268
980.0,1410,8204.894801
460.0,544,8246.78051
330.0,521,8286.992232
560.0,365,8314.704473
680.0,662,8372.605293
1300.0,1945,8526.373196
1030.0,863,8594.882659
280.0,294,8617.160507
830.0,769,8677.646219
1440.0,1497,8795.705604
680.0,666,8847.610193
1390.0,1955,9001.934459
780.0,866,9069.443188
460.0,676,9123.196895
580.0,595,9170.910442
580.0,588,9216.242492
980.0,1447,9331.843654
1080.0,941,9404.745363
530.0,830,9469.669214
430.0,525,9510.404924
1080.0,1060,9593.099356
1370.0,2446,9788.624166
230.0,557,9831.65754
860.0,713,9887.589279
930.0,1097,9974.499292
1300.0,1351,10080.358378
930.0,814,10143.105693
1080.0,1008,10221.593318
1610.0,2567,10424.186819
780.0,877,10491.926033
730.0,783,10551.958587
580.0,815,10614.962993
280.0,456,10649.874834
1300.0,2105,10812.480196
