# {"t_start": 1680772455.7513487, "env_id": "FreewayNoFrameskip-v4"} 
r,l,t
0.0,2042,32.215651
0.0,2044,62.853276
0.0,2042,91.947407
0.0,2047,273.342446
0.0,2046,301.347814
0.0,2046,330.760458
0.0,2042,522.527168
0.0,2048,549.306804
0.0,2046,577.959384
0.0,2043,752.677646
0.0,2048,781.720935
0.0,2045,810.688468
0.0,2048,1001.185948
0.0,2043,1030.870852
0.0,2042,1060.094265
0.0,2042,1253.013966
0.0,2046,1281.04968
0.0,2043,1310.406906
0.0,2042,1495.053078
0.0,2047,1523.393772
0.0,2046,1553.332977
0.0,2043,1739.695775
0.0,2048,1770.655994
0.0,2045,1799.440357
0.0,2045,1961.25442
0.0,2041,1988.332034
0.0,2043,2017.026951
0.0,2047,2204.03181
0.0,2048,2231.454817
0.0,2046,2257.580831
0.0,2046,2421.742043
0.0,2045,2448.249715
0.0,2047,2475.260374
0.0,2041,2647.067798
0.0,2043,2675.859052
0.0,2046,2703.809183
0.0,2044,2871.224946
0.0,2047,2913.31131
0.0,2044,2971.441983
0.0,2045,3294.169929
0.0,2043,3352.539645
0.0,2043,3410.966631
0.0,2044,3735.740454
0.0,2047,3793.942328
0.0,2048,3852.628053
0.0,2042,4174.746348
0.0,2045,4232.173236
0.0,2044,4290.226351
0.0,2044,4611.095234
0.0,2044,4668.965429
0.0,2042,4726.488359
0.0,2048,5053.809916
0.0,2043,5112.364835
0.0,2044,5170.966933
0.0,2044,5229.655091
0.0,2041,5469.805793
0.0,2046,5494.11966
0.0,2041,5516.459218
