# {"t_start": 1681213652.7798512, "env_id": "FreewayNoFrameskip-v4"} 
r,l,t
0.0,2043,33.530051
0.0,2048,62.961275
0.0,2045,92.537844
0.0,2048,279.677221
0.0,2046,322.867704
0.0,2046,511.803847
0.0,2048,842.023332
0.0,2045,1025.849263
0.0,2041,1222.161339
0.0,2041,1551.69321
0.0,2047,1739.797133
0.0,2045,1922.240553
0.0,2045,2250.944896
0.0,2046,2434.603256
0.0,2044,2617.44806
0.0,2045,2948.692446
0.0,2046,3130.088351
0.0,2046,3312.011344
0.0,2041,3648.653928
0.0,2044,3829.262388
0.0,2046,4012.288821
0.0,2048,4337.385188
0.0,2045,4518.377807
0.0,2041,4704.1881
0.0,2043,5029.533247
0.0,2041,5211.844463
0.0,2042,5412.136527
0.0,2041,5772.981228
0.0,2042,5982.037977
0.0,2046,6183.778863
0.0,2042,6544.216015
0.0,2043,6752.987384
0.0,2046,6958.395966
0.0,2043,7312.711179
0.0,2043,7514.229943
0.0,2045,7718.396056
0.0,2041,8068.82459
0.0,2044,8270.722129
0.0,2044,8477.434489
0.0,2048,8830.154281
0.0,2047,9042.636065
0.0,2045,9244.317618
0.0,2046,9601.435621
0.0,2044,9812.623734
0.0,2043,10019.940002
0.0,2042,10383.913307
0.0,2044,10588.702304
0.0,2043,10796.012463
0.0,2046,11155.296428
0.0,2046,11362.453157
0.0,2042,11569.378052
0.0,2046,11929.054008
0.0,2045,12135.140992
0.0,2046,12344.304022
0.0,2046,12551.437026
0.0,2046,12919.891618
0.0,2044,13123.508801
0.0,2044,13325.982196
0.0,2044,13678.705637
0.0,2044,13885.26867
0.0,2047,14089.870993
0.0,2044,14449.317886
0.0,2046,14656.001681
0.0,2043,14859.118298
0.0,2043,15215.615813
0.0,2048,15423.21588
0.0,2047,15625.81709
0.0,2041,15986.13919
0.0,2042,16188.997742
0.0,2045,16392.317524
0.0,2047,16753.841854
0.0,2045,16954.573679
0.0,2042,17155.669342
0.0,2041,17521.420739
0.0,2043,17724.047671
0.0,2046,17927.450471
0.0,2047,18287.601298
0.0,2043,18498.611946
0.0,2041,18700.480401
0.0,2046,19059.283078
0.0,2045,19266.090308
0.0,2044,19472.399428
0.0,2045,19846.615673
0.0,2045,20049.71934
0.0,2041,20257.217697
0.0,2041,20644.371207
0.0,2041,20852.84819
0.0,2044,21059.330998
0.0,2047,21426.045066
0.0,2043,21634.916765
0.0,2043,21838.94249
0.0,2043,22209.728747
0.0,2046,22421.871012
0.0,2047,22624.269137
0.0,2045,22979.681467
0.0,2048,23184.218202
0.0,2043,23386.979676
0.0,2045,23752.285012
0.0,2044,23962.426668
0.0,2048,24165.381522
0.0,2041,24529.486608
0.0,2047,24732.368873
0.0,2046,24935.360413
0.0,2041,25305.504574
0.0,2045,25508.849925
0.0,2041,25711.913893
1.0,2045,25916.268248
0.0,2042,26278.211034
0.0,2046,26481.188573
0.0,2043,26685.932707
0.0,2042,27059.106125
0.0,2046,27261.488414
0.0,2042,27468.103446
0.0,2043,27844.059626
0.0,2042,28047.565726
0.0,2042,28251.042943
0.0,2048,28626.204754
0.0,2045,28834.951892
0.0,2046,29042.631968
0.0,2047,29413.254763
0.0,2045,29619.679012
0.0,2047,29822.200134
0.0,2044,30186.403404
0.0,2042,30389.12448
0.0,2042,30594.306944
0.0,2047,30970.086847
0.0,2044,31172.893475
0.0,2045,31377.533537
0.0,2043,31743.171999
0.0,2045,31947.457025
0.0,2043,32149.576693
0.0,2042,32525.719057
0.0,2045,32725.879813
0.0,2041,32928.375243
0.0,2043,33296.916057
0.0,2047,33502.305277
0.0,2047,33704.62689
0.0,2042,34070.140933
0.0,2046,34272.406804
0.0,2044,34475.810626
0.0,2046,34851.475634
0.0,2044,35056.047504
0.0,2046,35257.785832
0.0,2045,35622.075301
0.0,2042,35827.113663
0.0,2041,36030.72015
0.0,2045,36398.379444
0.0,2045,36605.982052
0.0,2042,36813.423581
0.0,2041,37172.154059
0.0,2042,37381.609562
0.0,2044,37586.807887
0.0,2045,37945.188727
0.0,2048,38151.510042
0.0,2045,38355.662397
0.0,2042,38724.556735
0.0,2047,38933.4145
0.0,2044,39141.756944
0.0,2043,39520.599554
0.0,2042,39725.447241
0.0,2041,39931.630166
0.0,2047,40135.424413
0.0,2041,40490.000418
0.0,2047,40697.110329
0.0,2047,40899.666697
0.0,2044,41259.619478
0.0,2045,41468.730602
0.0,2048,41671.01887
0.0,2041,42026.9888
0.0,2043,42233.390465
0.0,2048,42437.855489
0.0,2048,42808.670218
0.0,2046,43016.738317
0.0,2042,43225.848806
0.0,2044,43584.851086
