# {"t_start": 1680885299.4082475, "env_id": "JourneyEscapeNoFrameskip-v4"} 
r,l,t
-22300.0,731,15.906199
4500.0,733,26.463111
-16600.0,734,37.145248
-14800.0,731,47.820658
-17400.0,733,58.576964
-8000.0,733,69.367983
-11100.0,731,80.164005
-19000.0,734,90.8153
-16600.0,736,163.702809
-16600.0,737,174.500525
-13800.0,732,185.211508
-22000.0,731,195.795328
-13700.0,737,206.551303
-21700.0,733,237.661001
-14700.0,735,308.732197
-8500.0,732,378.760782
-9600.0,732,447.678637
-24800.0,732,574.377403
-8100.0,732,644.387231
-15700.0,731,714.006747
-14500.0,732,783.444258
-8000.0,736,852.724612
-14300.0,735,923.739359
-17200.0,735,995.057537
-5400.0,732,1064.95922
-19600.0,736,1195.332459
-21100.0,736,1265.136624
-17200.0,734,1334.664025
-5800.0,731,1404.1916
-13200.0,733,1473.226332
-9000.0,732,1543.972281
-21100.0,730,1612.932074
-8800.0,730,1683.35164
-8500.0,731,1752.421359
-6000.0,736,1880.645267
-6700.0,736,1950.25537
-3600.0,731,2020.177149
-7000.0,736,2089.711681
-6200.0,735,2159.332522
-9400.0,736,2230.053033
-11900.0,734,2300.298285
-5200.0,735,2370.61444
-5800.0,731,2499.147866
-11800.0,734,2568.895852
-1000.0,737,2638.949414
-6700.0,736,2709.38903
-9000.0,734,2779.743887
-3000.0,736,2849.78318
-1500.0,733,2920.047092
-4900.0,736,2990.943669
-16900.0,737,3061.545404
-3800.0,732,3188.12835
-7500.0,737,3257.616729
-600.0,733,3326.663121
-5200.0,732,3395.679216
-6400.0,737,3466.408033
-6100.0,730,3535.29034
-7600.0,734,3605.108645
-11300.0,732,3674.735367
-7000.0,738,3806.04603
-11300.0,735,3875.122278
-10200.0,735,3944.118356
-9800.0,736,4013.936883
-5700.0,731,4083.507822
-1800.0,736,4152.15213
-4700.0,734,4221.381026
-7600.0,733,4292.376395
-8200.0,731,4361.853707
-2700.0,736,4489.244318
-11600.0,731,4558.123449
-11800.0,732,4626.8436
-3600.0,736,4697.52154
-6100.0,736,4767.464201
-4500.0,734,4837.438717
-900.0,734,4907.121123
-11300.0,735,4977.480015
-1800.0,735,5107.422314
-4900.0,736,5176.677402
-3900.0,736,5247.284187
-1200.0,737,5317.299772
-6500.0,736,5386.996408
-5000.0,734,5456.317249
-1800.0,736,5526.266169
-2400.0,736,5596.699408
-12700.0,738,5666.985279
8100.0,731,5797.349771
-6500.0,736,5866.904408
-900.0,738,5937.726461
-19600.0,730,6006.393948
-7300.0,734,6075.789766
-7100.0,731,6145.252862
-5800.0,732,6214.508439
-7600.0,735,6284.302561
-5200.0,738,6415.383996
-12500.0,736,6485.284818
-4400.0,734,6552.647141
-5600.0,731,6619.887164
-18100.0,734,6687.198055
