# {"t_start": 1680541631.5067997, "env_id": "MsPacmanNoFrameskip-v4"} 
r,l,t
810.0,591,18.019183
450.0,674,32.355501
690.0,777,49.633865
1340.0,699,65.086437
1130.0,977,84.703343
390.0,638,97.545564
470.0,605,109.646439
610.0,621,121.620196
820.0,851,196.939224
1220.0,748,212.902357
460.0,500,223.875508
880.0,872,242.248075
420.0,436,252.011519
840.0,692,266.393007
540.0,641,279.29146
1070.0,1009,299.485219
440.0,676,312.978799
330.0,633,373.048849
720.0,521,384.332892
390.0,470,394.954105
430.0,625,408.855916
390.0,640,423.131544
500.0,671,438.359462
560.0,681,453.439162
1170.0,930,471.904393
550.0,586,482.854687
580.0,649,495.159138
280.0,362,502.206046
460.0,547,547.703438
1970.0,613,559.85607
610.0,767,576.680293
1710.0,787,594.429267
770.0,619,608.492967
680.0,598,621.014128
1030.0,758,636.924636
330.0,376,644.829915
690.0,618,657.999087
460.0,525,669.167998
1430.0,1189,735.983139
710.0,634,748.782679
400.0,488,758.052777
620.0,506,767.478313
880.0,696,780.542566
980.0,851,796.416246
1160.0,932,816.127295
1230.0,757,832.274681
1030.0,728,885.388788
1440.0,693,899.992609
620.0,603,912.535032
340.0,415,920.295069
620.0,468,929.689608
620.0,929,948.436464
420.0,471,957.70214
2100.0,706,970.977213
610.0,767,985.214517
1340.0,783,999.731592
800.0,684,1066.334055
970.0,691,1081.428877
750.0,588,1094.626933
870.0,765,1111.948893
1040.0,753,1128.566226
530.0,790,1146.432902
850.0,941,1164.548897
400.0,475,1173.443757
700.0,565,1183.977985
860.0,602,1251.822001
660.0,604,1264.731333
930.0,697,1280.073632
740.0,626,1294.304173
740.0,601,1307.833582
810.0,585,1321.060916
1070.0,764,1338.671775
700.0,547,1349.427986
540.0,666,1362.40256
950.0,648,1428.392296
810.0,697,1441.104106
780.0,738,1454.624804
520.0,605,1465.610515
870.0,684,1479.913288
940.0,743,1495.514481
720.0,599,1508.240888
580.0,536,1520.320479
1070.0,636,1534.660234
330.0,394,1543.743495
1170.0,848,1629.304313
600.0,466,1637.785079
480.0,443,1645.847689
610.0,540,1655.861399
630.0,531,1666.236724
750.0,669,1680.279638
910.0,611,1694.223295
560.0,502,1705.31957
960.0,635,1719.54605
710.0,557,1732.008315
880.0,645,1745.786047
1020.0,796,1793.763889
420.0,351,1800.380523
600.0,508,1809.699629
810.0,610,1821.046639
490.0,515,1830.430551
1330.0,926,1847.516822
760.0,720,1860.691819
810.0,654,1873.024869
840.0,586,1886.240768
600.0,713,1902.48135
350.0,508,1962.000017
890.0,533,1973.410778
1180.0,742,1989.445632
630.0,505,1998.412082
1090.0,744,2011.844272
1330.0,725,2025.236902
1710.0,832,2040.588404
320.0,437,2048.721777
580.0,556,2058.938665
1370.0,962,2076.659407
320.0,552,2132.43271
400.0,431,2142.167537
730.0,587,2155.460566
470.0,471,2166.003227
940.0,734,2182.488542
720.0,754,2198.492264
890.0,566,2210.479093
870.0,984,2231.632706
240.0,355,2240.929086
800.0,645,2256.104659
1300.0,697,2317.485642
710.0,654,2333.865976
480.0,523,2347.090651
550.0,504,2359.756768
970.0,775,2379.082097
810.0,596,2394.038893
540.0,422,2403.699424
420.0,418,2413.557588
710.0,672,2429.543221
1060.0,664,2443.849421
560.0,452,2452.311426
700.0,645,2517.469936
1090.0,636,2535.458407
740.0,758,2552.685348
630.0,530,2564.627455
1650.0,673,2579.993015
690.0,571,2592.148904
640.0,500,2602.893103
790.0,916,2623.119501
1210.0,764,2641.183193
740.0,671,2717.489714
820.0,542,2729.635717
590.0,639,2743.77266
1510.0,851,2763.930578
1740.0,826,2784.296792
290.0,328,2792.375491
1140.0,924,2815.635008
1370.0,1194,2849.998839
890.0,552,2864.952527
650.0,677,2935.210804
970.0,759,2954.968224
1290.0,825,2974.844216
540.0,540,2988.211443
770.0,787,3006.678823
1160.0,657,3019.009082
1330.0,810,3033.624519
1270.0,957,3050.248077
1740.0,926,3118.569286
500.0,706,3136.450718
1620.0,795,3157.302351
580.0,529,3170.899451
880.0,910,3191.450712
340.0,356,3199.38653
1180.0,1043,3221.016664
220.0,344,3227.077156
840.0,749,3243.438887
580.0,594,3302.296831
750.0,754,3317.987187
1440.0,691,3333.224619
1160.0,785,3350.928696
1150.0,582,3364.829216
850.0,597,3379.317015
620.0,485,3391.678125
2080.0,1191,3423.157023
620.0,626,3439.701272
890.0,743,3504.065352
1060.0,965,3522.94706
1300.0,756,3537.849529
490.0,384,3545.389247
490.0,470,3555.689291
1570.0,814,3573.652382
1020.0,800,3593.121373
550.0,508,3606.520016
660.0,517,3620.236294
1080.0,729,3688.675147
1770.0,993,3711.350234
940.0,753,3728.91237
770.0,552,3741.135484
720.0,774,3757.126808
940.0,688,3772.247242
1210.0,971,3793.622852
560.0,503,3804.52588
770.0,754,3821.072865
1520.0,786,3887.248668
1640.0,751,3907.116879
1740.0,858,3928.991469
1240.0,732,3947.141483
1220.0,1080,3974.041648
1430.0,1046,3999.294791
1470.0,926,4018.004212
1380.0,979,4096.991977
660.0,731,4114.321039
1000.0,786,4133.515929
1300.0,672,4150.519891
1250.0,797,4169.143521
990.0,850,4188.241517
650.0,490,4199.166268
920.0,686,4215.445561
880.0,582,4276.511556
260.0,356,4285.102288
1250.0,856,4305.475179
600.0,568,4318.883037
1480.0,810,4336.861734
560.0,483,4347.359758
1040.0,838,4365.280737
530.0,445,4375.236713
1560.0,960,4396.441282
580.0,534,4408.160764
960.0,573,4463.015058
1310.0,931,4486.522829
