# {"t_start": 1680665763.0301707, "env_id": "MsPacmanNoFrameskip-v4"} 
r,l,t
310.0,422,8.942426
670.0,584,15.754181
780.0,723,24.690097
650.0,764,34.169698
480.0,530,40.646154
390.0,529,47.009997
550.0,623,54.484231
530.0,600,61.738214
410.0,660,70.258274
640.0,520,77.787571
530.0,490,123.415453
930.0,593,131.669637
750.0,838,143.354528
460.0,618,151.747784
280.0,676,160.874445
740.0,692,169.955366
670.0,886,181.542899
600.0,565,188.896478
490.0,459,195.017045
940.0,686,203.952703
800.0,822,248.849479
500.0,688,257.523138
340.0,596,265.00004
540.0,613,272.473675
1760.0,596,279.720155
660.0,632,287.361308
540.0,739,296.157165
600.0,673,304.286117
390.0,622,311.645802
280.0,486,350.122955
440.0,536,356.478647
540.0,614,363.834119
420.0,698,437.422212
1480.0,892,525.840256
420.0,476,572.676417
810.0,572,630.147672
700.0,723,703.422171
450.0,611,762.686751
650.0,502,806.936661
2010.0,781,868.929274
480.0,471,894.627847
690.0,649,929.431958
220.0,429,952.308888
820.0,702,989.879853
590.0,631,1023.42834
2310.0,878,1069.432627
1000.0,582,1099.944694
940.0,774,1139.853578
470.0,558,1168.736601
420.0,566,1222.197708
520.0,790,1264.38438
690.0,766,1305.088282
960.0,529,1333.109152
540.0,543,1362.248157
710.0,694,1400.520163
590.0,657,1435.695519
390.0,592,1467.273153
490.0,625,1500.292753
900.0,643,1534.744753
1190.0,773,1601.694678
670.0,634,1634.453006
4330.0,1084,1690.510573
370.0,458,1714.344041
680.0,560,1743.536952
420.0,423,1765.844233
550.0,676,1801.183475
1070.0,890,1848.156171
520.0,525,1875.894356
1310.0,862,1948.034512
450.0,415,1969.479533
470.0,449,1992.933158
530.0,559,2021.711442
770.0,724,2059.915419
970.0,740,2099.176664
550.0,505,2125.910711
750.0,783,2168.36248
1200.0,639,2201.602473
1520.0,897,2248.488351
830.0,630,2322.025414
1730.0,908,2372.534687
840.0,754,2412.181252
380.0,452,2435.934488
870.0,815,2479.103202
1240.0,839,2524.150393
670.0,583,2555.928867
1180.0,660,2592.481185
900.0,728,2632.011542
730.0,633,2693.291939
820.0,664,2728.311593
510.0,595,2759.798363
1150.0,584,2790.497112
690.0,750,2830.301026
690.0,549,2859.303345
780.0,819,2902.622425
660.0,725,2941.144171
390.0,518,2968.530237
730.0,606,3024.906128
330.0,443,3048.930309
610.0,732,3087.763649
610.0,448,3111.116652
790.0,602,3142.70305
1080.0,626,3175.611047
630.0,592,3207.409808
1580.0,669,3242.862586
950.0,740,3281.835867
480.0,443,3305.154812
640.0,714,3342.938775
820.0,651,3402.455244
1480.0,649,3436.003971
530.0,550,3464.514831
2290.0,1009,3516.949987
380.0,464,3540.69043
530.0,491,3565.991011
810.0,507,3592.130449
420.0,567,3621.389983
580.0,488,3646.504047
530.0,551,3675.024938
940.0,803,3744.865268
870.0,686,3781.211539
1630.0,931,3829.448726
900.0,583,3859.548154
840.0,574,3892.982032
1650.0,818,3935.243944
780.0,675,3969.952679
1030.0,730,4007.757205
1270.0,689,4043.741188
770.0,584,4097.233441
640.0,544,4125.514222
1030.0,685,4161.550622
1230.0,724,4200.110434
3040.0,1138,4261.297293
710.0,557,4290.303533
730.0,515,4317.229525
530.0,463,4341.360054
1290.0,805,4383.521416
270.0,335,4400.773445
1050.0,666,4470.300278
760.0,586,4501.448727
1260.0,690,4538.163178
700.0,675,4573.53987
620.0,557,4602.576979
590.0,537,4631.283006
1150.0,883,4677.331945
960.0,797,4718.9326
500.0,504,4745.687986
1010.0,937,4826.841563
960.0,536,4854.242362
630.0,457,4877.560502
1080.0,618,4909.095276
2890.0,1251,4974.992907
1290.0,880,5020.837087
710.0,651,5054.595201
1220.0,624,5086.948926
1120.0,772,5129.059092
990.0,573,5189.333284
1540.0,911,5237.167868
920.0,873,5282.543425
440.0,411,5303.686117
500.0,584,5334.035087
1800.0,893,5380.204933
1920.0,786,5421.124101
280.0,384,5440.884565
1360.0,1385,5538.900729
450.0,454,5562.717762
690.0,664,5597.980885
1100.0,704,5635.059112
1510.0,790,5676.923317
1200.0,627,5710.157364
1580.0,671,5745.20579
910.0,972,5796.327089
910.0,729,5834.977796
560.0,508,5886.458151
590.0,514,5913.730661
840.0,986,5966.608848
1110.0,755,6006.13093
770.0,563,6035.517451
1160.0,696,6072.225141
740.0,612,6104.127717
1300.0,655,6137.972277
1050.0,642,6171.427784
370.0,407,6193.489194
580.0,563,6254.926263
680.0,657,6289.32102
