# {"t_start": 1680625527.6404352, "env_id": "MsPacmanNoFrameskip-v4"} 
r,l,t
920.0,699,11.756792
480.0,505,16.629735
1050.0,783,24.017078
580.0,877,32.205277
390.0,513,36.869535
430.0,588,42.300766
810.0,674,48.558369
810.0,680,55.030014
360.0,619,60.84476
1850.0,704,92.769443
910.0,848,101.229195
450.0,673,107.974944
390.0,623,114.220718
470.0,506,119.577107
380.0,489,124.706416
950.0,594,130.860676
680.0,911,140.546634
370.0,520,145.911384
470.0,689,153.224824
570.0,578,186.030778
690.0,665,193.200909
470.0,741,201.269626
380.0,703,208.99232
990.0,899,218.596668
520.0,604,225.073117
200.0,411,229.875073
740.0,866,239.647382
270.0,599,246.464709
340.0,386,275.312486
540.0,714,283.21606
1120.0,778,291.730244
280.0,490,297.090309
750.0,866,306.826137
630.0,654,313.975079
790.0,463,318.966354
890.0,738,327.530884
680.0,627,334.408977
1130.0,565,340.130758
420.0,372,366.049542
1180.0,710,374.262791
670.0,553,380.843286
1530.0,711,388.323981
490.0,456,392.989883
470.0,619,399.325052
1000.0,861,408.376464
260.0,535,413.996421
530.0,538,419.767469
560.0,618,426.228649
440.0,612,455.23741
440.0,497,460.498613
430.0,420,465.323261
990.0,604,472.431337
490.0,492,477.656129
860.0,602,483.856716
540.0,694,491.061481
530.0,522,496.550692
530.0,546,502.332176
590.0,479,507.832694
900.0,900,518.162627
1040.0,917,560.59236
390.0,542,566.195536
1340.0,866,575.136092
960.0,808,583.394237
250.0,417,587.668231
1020.0,822,596.187491
840.0,645,602.706242
620.0,660,609.327051
510.0,701,616.228119
520.0,689,646.010523
440.0,502,651.077819
1260.0,922,660.589551
510.0,574,666.552971
1640.0,1120,678.142492
1020.0,890,686.99721
480.0,504,691.999962
540.0,496,697.017505
530.0,507,702.15587
710.0,682,793.955584
840.0,534,928.569367
640.0,507,1056.937644
850.0,702,1235.568652
760.0,649,1399.892508
610.0,653,1566.137876
820.0,678,1737.820096
1130.0,1121,2022.293554
910.0,736,2208.387169
940.0,711,2408.658841
370.0,431,2518.237271
480.0,523,2650.883198
1230.0,661,2819.374515
490.0,484,2940.352525
890.0,733,3125.790637
330.0,482,3245.321344
1640.0,1077,3513.984683
170.0,383,3608.907618
850.0,651,3770.69639
790.0,586,3940.22268
370.0,454,4055.648475
380.0,471,4174.821059
3410.0,1139,4461.5809
860.0,667,4627.719377
2280.0,828,4834.03739
1590.0,853,5046.62392
490.0,429,5154.175346
300.0,319,5232.922302
750.0,699,5409.8412
740.0,588,5576.783497
990.0,542,5712.47297
1000.0,730,5894.558858
870.0,722,6075.952933
1110.0,665,6246.168906
580.0,478,6366.020434
530.0,535,6501.723233
940.0,765,6694.092009
1500.0,1258,7013.479618
670.0,768,7234.218509
1150.0,796,7434.961161
360.0,482,7556.238299
1090.0,949,7796.900668
1270.0,1009,8049.733598
780.0,620,8204.993458
2220.0,995,8455.149211
1030.0,834,8666.650361
1040.0,841,8905.701438
850.0,835,9115.720857
810.0,899,9344.110543
930.0,741,9530.273189
660.0,493,9653.190697
650.0,611,9806.229491
740.0,755,9994.633219
470.0,533,10127.699733
1450.0,800,10354.747098
390.0,486,10476.840078
420.0,497,10602.240722
820.0,655,10767.272314
1130.0,694,10943.700831
1700.0,985,11192.492785
1210.0,1002,11446.337681
1320.0,900,11674.469172
450.0,510,11805.914398
620.0,603,11986.463201
910.0,687,12160.765915
1110.0,567,12304.463368
900.0,693,12480.006267
600.0,479,12602.007999
680.0,592,12749.938024
1370.0,708,12928.215942
1320.0,957,13173.076295
1150.0,658,13342.907546
1180.0,838,13590.208588
730.0,818,13797.952609
1320.0,892,14024.904791
720.0,631,14186.530509
1030.0,604,14337.417449
1070.0,751,14526.05419
1190.0,644,14688.258073
600.0,494,14811.542194
900.0,644,14972.938469
670.0,561,15114.141589
1180.0,689,15314.470838
3210.0,940,15552.917984
540.0,464,15671.075041
440.0,472,15789.76099
1030.0,662,15957.157068
1350.0,724,16141.145941
1660.0,1064,16411.290941
2710.0,1212,16719.274987
520.0,536,16884.338115
1000.0,639,17047.301268
600.0,478,17166.509734
430.0,466,17283.08713
1050.0,684,17454.413795
1170.0,796,17652.749355
1680.0,713,17832.443645
1050.0,701,18010.286016
610.0,484,18131.989562
500.0,567,18275.177501
740.0,725,18483.513314
1400.0,857,18697.490115
1380.0,1176,18991.747093
1100.0,1095,19267.105886
1350.0,586,19415.512949
490.0,392,19514.507414
700.0,594,19664.149671
1830.0,669,19834.100637
1030.0,568,19977.380206
1470.0,1113,20281.737972
720.0,600,20434.359684
970.0,660,20598.927526
390.0,400,20699.610421
1790.0,787,20896.288022
1560.0,878,21115.382638
440.0,459,21230.753468
1540.0,726,21411.241482
710.0,521,21541.522096
510.0,420,21670.691591
550.0,482,21792.330198
970.0,618,21951.669088
2060.0,589,22101.749297
460.0,419,22208.833495
900.0,591,22356.634489
680.0,523,22487.048626
640.0,464,22605.14324
390.0,384,22702.233961
590.0,478,22823.098702
1100.0,745,23014.034465
1610.0,698,23192.796944
1220.0,764,23419.800928
530.0,476,23540.684389
1670.0,1065,23810.560431
1250.0,934,24048.486084
1730.0,677,24222.95796
2320.0,902,24450.139251
660.0,644,24611.638228
1150.0,929,24874.582644
580.0,426,24980.707616
900.0,702,25157.518958
680.0,586,25305.122328
1380.0,631,25466.503536
790.0,639,25627.670903
440.0,405,25729.114425
1340.0,601,25878.147219
1540.0,725,26057.473632
1120.0,809,26262.486346
1350.0,683,26466.446439
1090.0,732,26650.430626
760.0,734,26837.51924
1480.0,764,27033.952601
1970.0,1000,27287.129
730.0,655,27450.868621
1490.0,842,27662.179369
1850.0,934,27895.333062
2040.0,737,28101.193022
1050.0,619,28257.406674
1700.0,855,28471.798996
1090.0,619,28628.399225
1250.0,805,28830.003106
2030.0,841,29042.160004
1730.0,758,29234.862758
760.0,515,29365.11694
380.0,409,29467.697407
580.0,411,29571.028468
920.0,694,29769.351169
930.0,846,29978.905914
1420.0,552,30116.130364
1190.0,785,30313.240257
1400.0,889,30534.036061
1520.0,621,30688.462474
720.0,760,30878.041855
1310.0,940,31111.834153
1510.0,941,31379.140351
910.0,719,31560.782153
1560.0,861,31777.43953
740.0,530,31910.448325
2290.0,883,32131.580179
1060.0,612,32286.155593
880.0,665,32454.138309
1110.0,775,32648.815844
1100.0,646,32811.726482
750.0,619,33002.686236
2180.0,936,33239.260405
820.0,694,33415.956975
880.0,755,33604.76231
1500.0,982,33849.920002
1340.0,834,34060.695016
980.0,785,34258.572206
670.0,733,34466.686965
1260.0,1009,34720.598531
260.0,369,34812.69681
490.0,410,34915.884276
860.0,635,35077.194113
800.0,573,35220.50093
640.0,488,35343.573532
2030.0,775,35539.36611
840.0,536,35671.72282
730.0,504,35797.796459
1030.0,768,35988.998971
840.0,600,36162.690081
