# {"t_start": 1680581596.0578945, "env_id": "MsPacmanNoFrameskip-v4"} 
r,l,t
1210.0,885,13.90244
1930.0,714,22.160196
630.0,679,30.27771
360.0,375,34.929247
550.0,673,43.198133
380.0,548,49.930562
450.0,677,58.092387
560.0,735,66.897838
1060.0,615,74.468282
1420.0,896,108.525958
920.0,634,116.96717
500.0,788,126.629416
410.0,630,134.462011
900.0,730,143.141517
420.0,493,148.841063
570.0,581,155.618118
910.0,848,165.236971
720.0,659,173.166636
770.0,789,213.773042
390.0,652,221.754256
940.0,661,229.876504
340.0,678,237.813163
770.0,791,247.517031
550.0,723,256.08082
630.0,580,263.10255
1250.0,930,274.596028
720.0,621,282.204697
880.0,762,326.883294
720.0,565,333.704684
610.0,611,341.259286
680.0,683,349.815557
430.0,559,357.662696
600.0,667,365.740508
610.0,656,373.550857
950.0,716,382.312011
470.0,726,391.220891
560.0,908,424.241647
340.0,463,429.974167
710.0,547,436.781945
1820.0,594,444.151865
470.0,648,452.119371
230.0,704,460.23091
640.0,634,467.522165
610.0,717,476.3966
840.0,744,485.556814
1060.0,581,492.614792
1500.0,814,526.92573
610.0,589,534.140775
650.0,561,541.152403
720.0,513,547.130057
590.0,582,554.11801
1900.0,1037,566.705069
800.0,729,575.37837
440.0,476,581.136052
460.0,413,585.99958
730.0,773,595.206397
670.0,604,637.811875
890.0,693,646.284787
890.0,636,653.772649
1190.0,743,662.603862
870.0,607,669.834779
1180.0,1354,686.001186
570.0,607,693.458976
840.0,663,701.743126
1630.0,1115,747.516422
550.0,480,753.869617
2120.0,754,763.259666
810.0,819,772.494736
830.0,710,780.997007
450.0,523,787.596251
1130.0,845,798.02146
490.0,550,804.95142
770.0,611,812.05985
1150.0,758,936.260262
720.0,590,1056.496472
1000.0,687,1192.586021
460.0,420,1274.715434
520.0,517,1419.901769
790.0,618,1607.788685
750.0,615,1799.911434
350.0,481,1942.453098
1000.0,678,2149.337147
530.0,474,2341.802131
820.0,662,2641.839469
410.0,472,2881.898386
1820.0,888,3273.312564
1410.0,1019,3733.359331
940.0,698,4041.094807
1110.0,899,4440.673393
470.0,511,4667.749446
1050.0,833,5028.335133
1110.0,878,5405.06494
1000.0,597,5708.456718
540.0,707,6027.775727
1190.0,709,6350.224102
460.0,486,6572.429779
420.0,451,6777.833762
440.0,508,7011.220785
920.0,636,7299.582253
1360.0,751,7642.925843
750.0,630,7934.568398
730.0,672,8204.232473
760.0,578,8504.331632
2460.0,758,8861.004344
530.0,421,9060.491007
1010.0,694,9378.600892
1380.0,677,9690.851934
2250.0,560,9952.915534
1440.0,829,10330.838302
840.0,578,10596.017762
630.0,665,10895.554884
460.0,444,11101.892736
740.0,631,11390.430022
690.0,590,11660.37254
480.0,472,11879.690468
480.0,518,12123.920465
500.0,493,12352.872997
1480.0,1299,12953.706139
790.0,809,13326.049359
660.0,616,13612.419274
370.0,384,13785.444898
2510.0,876,14229.474912
1310.0,616,14481.405337
480.0,401,14661.369825
1060.0,707,14984.640807
270.0,311,15129.40736
650.0,694,15440.754604
470.0,457,15654.305097
1130.0,772,16027.368635
420.0,447,16263.559867
1020.0,674,16611.166373
670.0,702,16980.319728
1320.0,896,17506.432651
480.0,604,17800.332151
1450.0,748,18184.39828
1160.0,626,18500.681417
1110.0,741,18884.19279
1010.0,976,19395.887048
1200.0,472,19634.254426
650.0,434,19863.271623
790.0,565,20144.230967
420.0,389,20353.273719
580.0,550,20692.115819
320.0,354,20878.523842
910.0,682,21218.865824
990.0,859,21662.707112
550.0,488,21919.350013
660.0,505,22190.928464
950.0,649,22534.867869
880.0,564,22833.665034
540.0,580,23140.841084
2750.0,962,23635.680229
1410.0,938,24178.415391
820.0,638,24523.581797
1010.0,705,24866.024529
960.0,707,25223.56594
780.0,809,25656.421635
780.0,592,25966.076264
950.0,813,26385.242448
1180.0,1211,27016.492898
990.0,674,27425.173833
1120.0,825,27859.884871
630.0,488,28118.972513
890.0,686,28459.986417
340.0,501,28715.655214
720.0,497,28969.673209
1400.0,674,29321.350952
530.0,516,29595.739819
1210.0,877,30055.181196
1530.0,856,30537.520677
2290.0,983,31065.002053
1620.0,818,31489.231738
510.0,468,31714.723648
1320.0,681,32084.242533
1750.0,911,32572.209512
1480.0,834,33012.457367
1300.0,963,33488.245788
860.0,575,33815.576866
680.0,693,34156.108597
1000.0,812,34562.262787
520.0,565,34842.622119
260.0,313,34999.197461
320.0,330,35141.613647
300.0,316,35297.851684
570.0,580,35597.364542
770.0,582,35890.867374
1060.0,598,36195.869264
1110.0,650,36517.450654
600.0,633,36834.066244
230.0,395,37081.419423
1170.0,755,37432.878168
2600.0,1079,37936.192545
1750.0,876,38325.93457
790.0,496,38524.78571
1110.0,1064,39012.38318
2450.0,887,39424.995692
780.0,569,39690.013916
1120.0,832,40102.762549
1180.0,1024,40572.095799
1110.0,903,40983.535248
570.0,514,41216.259869
1210.0,742,41434.516584
1040.0,724,41577.065718
1500.0,844,41744.137419
880.0,624,41866.771349
1350.0,909,42072.069483
940.0,647,42198.586638
510.0,502,42296.63236
660.0,748,42443.576925
810.0,637,42568.119431
1260.0,838,42731.836288
920.0,804,42888.553484
580.0,512,42988.519419
800.0,694,43121.849884
770.0,700,43280.305532
1400.0,1010,43477.803644
1080.0,510,43576.515805
1580.0,888,43750.334945
550.0,427,43833.95053
1040.0,968,44027.759384
580.0,465,44120.670508
960.0,652,44253.419878
870.0,836,44423.309591
610.0,545,44575.696584
2420.0,971,44765.690914
1040.0,797,44917.648892
1250.0,635,45038.138638
420.0,407,45115.64
610.0,686,45246.645316
1170.0,705,45381.337053
720.0,648,45504.739819
370.0,373,45575.58137
3290.0,1053,45800.833364
1250.0,733,45942.691914
830.0,580,46055.313519
240.0,358,46124.265489
480.0,471,46215.004612
2410.0,800,46371.319502
1180.0,926,46554.034945
600.0,453,46644.165791
1080.0,851,46811.700219
1340.0,819,46999.001435
1720.0,934,47180.83201
760.0,749,47325.464421
570.0,494,47419.53791
1160.0,759,47564.36779
1840.0,949,47746.782444
2960.0,901,47921.851932
1230.0,868,48091.158761
1600.0,753,48261.608157
730.0,905,48435.407187
1460.0,996,48625.503022
1230.0,969,48811.751881
710.0,594,48925.197504
2490.0,813,49080.875116
370.0,336,49145.279108
2270.0,741,49287.519177
1810.0,820,49476.395535
500.0,546,49581.260327
890.0,680,49713.295616
1360.0,842,49876.814556
1450.0,734,50022.670292
700.0,553,50130.634557
710.0,539,50233.607031
1340.0,756,50380.794025
510.0,443,50466.930262
580.0,493,50562.903183
1910.0,798,50740.104441
690.0,513,50839.802515
1110.0,808,50995.686473
840.0,694,51129.376103
490.0,526,51231.312133
1260.0,909,51407.084737
320.0,365,51477.152817
1080.0,859,51641.201345
390.0,402,51718.780007
1390.0,941,51936.889486
2550.0,1227,52174.876391
540.0,545,52280.494612
960.0,744,52423.93134
820.0,668,52552.722387
830.0,616,52672.263739
1220.0,776,52822.186437
770.0,603,52939.094492
2540.0,953,53157.915795
920.0,837,53317.100222
1010.0,703,53451.403426
360.0,326,53512.423785
1780.0,831,53670.381289
520.0,420,53750.384244
1290.0,1059,53951.614382
1180.0,736,54092.993941
520.0,561,54200.599
1410.0,857,54391.876481
810.0,596,54505.772014
1410.0,942,54686.489049
1230.0,673,54814.329858
1220.0,766,54960.498639
1410.0,736,55100.28576
1090.0,922,55276.494159
2160.0,1049,55477.407964
1170.0,695,55644.574402
1380.0,606,55762.583801
660.0,539,55868.053404
1000.0,842,56032.584569
1320.0,902,56209.218828
1570.0,969,56396.646977
1460.0,633,56521.054038
1250.0,795,56676.565768
2100.0,663,56804.927827
760.0,572,56950.541792
690.0,513,57050.088044
1250.0,786,57206.426675
2250.0,1070,57415.80798
550.0,389,57491.499871
760.0,564,57602.385038
1650.0,762,57750.018541
690.0,543,57855.584768
490.0,392,57931.333225
810.0,665,58059.617225
1250.0,931,58272.826706
610.0,582,58385.98327
1490.0,860,58553.718423
1160.0,643,58678.51387
1050.0,804,58834.486533
950.0,578,58946.490111
1080.0,1038,59149.157808
1370.0,585,59261.324074
980.0,666,59418.796898
1060.0,656,59546.395321
1020.0,818,59705.045391
840.0,859,59871.535509
1940.0,849,60034.716866
1000.0,898,60206.146887
930.0,579,60315.902226
1330.0,956,60499.050446
490.0,485,60618.945801
520.0,481,60713.489762
1500.0,737,60859.25065
650.0,509,60958.237653
1770.0,869,61128.297315
1190.0,802,61285.21479
1600.0,731,61426.527528
870.0,620,61546.233326
1400.0,792,61699.339277
1220.0,950,61919.634063
900.0,606,62036.553027
1310.0,805,62192.186048
1120.0,730,62332.589098
290.0,327,62395.496819
2010.0,922,62573.340758
400.0,466,62664.000765
1310.0,922,62843.145808
1610.0,1037,63043.743989
1010.0,805,63232.935579
1870.0,897,63404.738696
730.0,640,63526.722603
700.0,701,63661.110951
950.0,817,63817.44474
940.0,851,63982.006997
800.0,646,64106.969659
1440.0,1077,64351.297647
1230.0,640,64474.357741
1000.0,701,64610.079977
1030.0,697,64744.782912
770.0,622,64864.845261
1900.0,943,65046.855116
1630.0,922,65224.996065
1640.0,897,65400.525444
990.0,561,65510.782532
700.0,612,65655.889831
520.0,419,65737.710738
820.0,531,65840.913868
1400.0,934,66022.388626
750.0,494,66117.730024
1040.0,697,66253.294583
