# {"t_start": 1680930914.303851, "env_id": "MsPacmanNoFrameskip-v4"} 
r,l,t
710.0,776,18.236229
540.0,649,25.990392
640.0,619,33.447567
1340.0,691,41.572969
990.0,1110,54.770083
580.0,615,62.143646
830.0,835,71.385656
600.0,608,77.98071
370.0,700,120.583501
580.0,591,127.633817
360.0,468,133.22727
250.0,410,138.104122
760.0,560,144.79224
1120.0,807,154.55758
790.0,679,162.679456
520.0,577,169.512809
270.0,624,177.10407
500.0,604,184.344581
1050.0,1071,231.460992
450.0,517,237.596691
540.0,404,242.391386
720.0,697,250.754218
380.0,740,259.169575
210.0,388,263.782498
260.0,486,269.328871
240.0,501,274.938912
680.0,607,281.717805
380.0,780,290.601167
680.0,744,335.258948
530.0,590,341.803175
420.0,838,351.171204
640.0,643,358.373829
740.0,645,365.637493
380.0,671,373.026778
1990.0,803,382.121112
400.0,478,387.414462
410.0,466,392.675982
600.0,725,400.94079
330.0,700,441.232257
180.0,378,445.395359
270.0,397,449.893173
230.0,427,454.628484
640.0,664,461.99615
490.0,617,468.881304
530.0,576,475.335683
230.0,487,480.807312
570.0,668,488.20764
640.0,689,495.840233
750.0,680,503.430064
710.0,757,548.242109
180.0,312,552.072952
440.0,530,558.567824
1360.0,781,568.210079
690.0,826,578.425497
1290.0,652,586.495084
260.0,441,591.96817
300.0,432,597.395053
330.0,359,601.617879
410.0,513,607.849057
490.0,591,615.080939
700.0,610,646.993124
320.0,467,652.690408
320.0,655,660.721209
410.0,570,667.754418
500.0,588,674.936771
1170.0,721,683.856372
740.0,794,693.600859
790.0,782,703.380766
330.0,467,709.125109
400.0,526,715.601317
1110.0,731,767.303011
940.0,547,773.850113
610.0,629,781.353689
1220.0,815,791.364979
530.0,570,798.44162
720.0,601,805.765453
710.0,669,813.936163
510.0,453,819.438477
970.0,791,829.179996
1130.0,773,838.698339
550.0,596,887.148958
370.0,542,893.948813
1930.0,809,904.002737
730.0,592,911.388296
430.0,933,922.777042
560.0,603,929.773771
1470.0,825,939.696174
790.0,690,948.068736
400.0,535,954.442112
500.0,458,995.96058
1100.0,596,1003.255359
660.0,475,1009.033081
730.0,664,1016.893213
490.0,526,1023.213665
810.0,767,1032.50818
800.0,853,1042.980152
330.0,379,1047.654329
1280.0,968,1059.315603
850.0,732,1068.235095
830.0,670,1113.255662
1070.0,732,1121.919726
740.0,770,1131.024147
740.0,695,1139.233626
740.0,633,1146.673894
1440.0,675,1154.694334
600.0,451,1159.996181
530.0,493,1165.784863
610.0,545,1172.251495
630.0,481,1178.053068
950.0,939,1217.503406
1350.0,840,1227.589582
450.0,450,1233.006943
1190.0,851,1243.268882
710.0,635,1251.021137
800.0,679,1259.159482
830.0,628,1266.628948
870.0,665,1274.769389
630.0,696,1283.500411
1080.0,819,1328.001739
1250.0,614,1335.405854
1520.0,820,1345.447455
2130.0,795,1355.277054
730.0,698,1363.974031
840.0,673,1372.336957
940.0,753,1381.635185
360.0,383,1386.343201
720.0,964,1449.049406
690.0,578,1456.038908
1020.0,647,1463.870883
620.0,539,1470.426666
560.0,615,1477.917037
930.0,647,1485.708902
450.0,485,1491.37735
1520.0,865,1501.964071
1010.0,580,1509.061641
520.0,469,1514.968137
490.0,594,1522.339445
1240.0,840,1587.355598
650.0,580,1594.474349
570.0,548,1601.144023
1120.0,712,1609.833343
410.0,427,1614.9546
1210.0,761,1624.058059
980.0,757,1633.172494
420.0,426,1638.326449
930.0,596,1645.558726
420.0,687,1653.755777
710.0,561,1697.26423
940.0,667,1705.317467
200.0,396,1710.132958
500.0,559,1716.980505
540.0,469,1722.526089
370.0,373,1726.975298
910.0,630,1734.63036
390.0,467,1740.354943
430.0,487,1746.216655
730.0,687,1754.441758
980.0,884,1764.827759
860.0,699,1812.934922
520.0,461,1818.535639
1220.0,697,1826.888999
1840.0,713,1835.59972
870.0,820,1845.558059
1060.0,642,1853.302378
820.0,686,1861.662349
1000.0,946,1872.812447
790.0,562,1879.451904
1100.0,743,1925.098979
1140.0,632,1932.871037
760.0,581,1939.919333
760.0,570,1946.857322
590.0,592,1954.071388
780.0,930,1965.189511
1390.0,778,1974.42558
820.0,711,1983.110425
1750.0,966,1994.903718
470.0,444,2040.52137
930.0,1100,2053.964587
1280.0,941,2065.243475
880.0,767,2074.451145
970.0,747,2083.203726
1190.0,650,2090.869992
510.0,441,2096.232594
1570.0,630,2103.794099
1200.0,742,2162.581074
880.0,677,2170.804453
1390.0,801,2180.423535
910.0,696,2188.562601
850.0,866,2199.227547
510.0,463,2204.965926
1480.0,702,2213.46394
1070.0,789,2223.195894
1310.0,777,2232.560441
600.0,486,2291.04242
1610.0,876,2301.671879
1220.0,882,2312.181598
980.0,835,2322.120451
1560.0,1252,2337.028424
870.0,828,2347.058034
430.0,507,2353.176068
1010.0,831,2363.179137
540.0,546,2413.012007
1400.0,891,2423.779488
630.0,651,2431.712256
870.0,761,2440.926078
320.0,336,2444.975018
470.0,444,2450.383525
1860.0,985,2462.224315
1140.0,710,2470.56122
760.0,696,2478.953687
1020.0,736,2527.093526
1800.0,703,2535.783008
1830.0,792,2545.554168
1140.0,818,2555.638946
1340.0,675,2564.057901
940.0,605,2571.564693
1420.0,749,2580.811446
1220.0,1002,2593.09351
560.0,498,2599.159025
860.0,621,2671.122628
2260.0,745,2680.403445
740.0,845,2690.988504
1200.0,698,2699.803049
760.0,519,2706.215848
790.0,528,2712.711525
500.0,744,2721.816843
2120.0,762,2731.079987
1070.0,771,2740.054529
1190.0,676,2786.473359
1450.0,676,2794.656714
430.0,440,2799.955838
1680.0,819,2809.81617
1250.0,708,2818.331737
740.0,648,2826.170264
1300.0,724,2834.964138
2520.0,813,2844.627777
1080.0,611,2851.94401
2390.0,774,2905.888631
610.0,488,2911.840277
2240.0,685,2920.148217
390.0,428,2925.371248
1620.0,741,2934.697208
470.0,445,2940.271101
1310.0,955,2952.357141
960.0,787,2962.140244
730.0,655,2970.307011
1130.0,967,3034.49706
210.0,288,3038.038023
1870.0,1056,3050.73518
1350.0,642,3058.567981
1680.0,805,3068.380649
760.0,757,3077.498151
1140.0,800,3087.270401
980.0,687,3095.576279
1620.0,902,3151.218521
1070.0,723,3159.878223
960.0,792,3169.474828
720.0,618,3176.906153
730.0,618,3184.271945
520.0,435,3189.607853
630.0,548,3196.17733
790.0,595,3203.360717
550.0,450,3208.841481
1750.0,963,3220.563102
1540.0,746,3286.947355
330.0,320,3290.794477
1200.0,770,3300.021481
950.0,713,3308.563202
420.0,384,3313.064542
640.0,445,3318.521327
2010.0,1063,3331.521986
650.0,647,3339.549152
780.0,590,3346.941593
1350.0,952,3358.747223
1590.0,961,3410.893504
1680.0,1146,3424.375058
1060.0,789,3433.766335
1260.0,769,3442.963547
520.0,520,3449.183321
2800.0,864,3459.342262
1360.0,748,3468.046651
1400.0,800,3530.562677
390.0,382,3535.192719
750.0,587,3542.302935
1420.0,686,3550.686616
1290.0,690,3558.759617
1500.0,663,3566.762132
680.0,512,3572.905731
890.0,685,3581.036166
960.0,701,3589.567218
830.0,745,3598.719209
1190.0,747,3644.449708
390.0,366,3649.022827
1180.0,925,3660.481977
1540.0,746,3669.660198
1170.0,517,3676.14856
560.0,503,3682.351492
760.0,588,3689.589687
1280.0,876,3699.919571
1130.0,692,3708.313771
2060.0,714,3766.450896
1170.0,678,3774.676058
410.0,383,3779.34992
1010.0,787,3788.808899
520.0,447,3794.233921
570.0,465,3799.868882
2240.0,1183,3814.156312
1220.0,696,3822.521143
460.0,399,3827.218185
440.0,398,3832.067173
580.0,441,3837.379269
260.0,358,3841.81438
830.0,581,3884.662569
2090.0,1018,3897.124825
880.0,586,3904.207654
1070.0,810,3914.196954
830.0,781,3923.736169
1110.0,915,3934.893234
2410.0,1324,3951.107094
550.0,517,4005.593873
570.0,491,4011.530063
1510.0,781,4021.123698
1420.0,1160,4035.561242
1830.0,966,4047.560546
560.0,597,4054.925429
1160.0,729,4063.945682
810.0,598,4071.247988
460.0,439,4076.613939
2370.0,763,4133.482022
760.0,706,4141.85897
940.0,657,4149.702003
630.0,488,4155.580222
760.0,745,4164.513079
1540.0,882,4175.042826
1720.0,866,4185.512197
1100.0,968,4197.416668
1500.0,963,4259.635634
2050.0,798,4269.335199
1250.0,683,4277.90594
1170.0,689,4286.639524
1240.0,915,4298.173618
900.0,655,4306.424747
1970.0,704,4315.169664
820.0,700,4323.860209
850.0,787,4393.697611
1690.0,1030,4405.958053
800.0,672,4413.955277
2180.0,816,4423.710031
1550.0,703,4432.100076
1350.0,765,4441.301457
1580.0,1044,4454.014698
1020.0,727,4462.857567
950.0,680,4530.336149
660.0,860,4540.977748
680.0,651,4548.836052
860.0,722,4557.608917
1300.0,799,4567.179257
2040.0,1152,4581.236129
1140.0,716,4589.965461
