# {"t_start": 1680721369.3072891, "env_id": "MsPacmanNoFrameskip-v4"} 
r,l,t
1200.0,880,18.156912
510.0,639,27.975607
250.0,328,33.08988
270.0,619,42.642712
910.0,639,52.476071
480.0,601,61.63835
400.0,530,69.736587
370.0,575,78.555054
540.0,571,87.273194
860.0,936,143.955029
630.0,711,154.939594
620.0,634,164.864152
480.0,661,175.110637
630.0,731,186.458062
840.0,660,196.521618
710.0,612,206.010205
700.0,870,219.408943
530.0,771,231.145445
430.0,695,277.026917
470.0,678,287.575509
650.0,789,299.804988
1280.0,871,313.076412
740.0,614,322.679826
700.0,582,331.803315
1140.0,774,343.786901
1010.0,1015,359.178554
2330.0,968,408.746181
740.0,820,420.980018
1190.0,771,432.546789
400.0,455,439.478595
390.0,728,450.291856
480.0,795,461.947779
350.0,540,469.825612
340.0,636,478.889088
350.0,622,487.730975
470.0,537,495.242062
1380.0,738,545.421181
590.0,748,555.902182
630.0,490,562.698409
700.0,639,571.081781
3610.0,992,583.997167
570.0,539,591.115101
1120.0,871,603.01195
1040.0,635,611.716787
1460.0,611,619.894599
390.0,464,679.931675
750.0,775,690.424255
790.0,573,698.315421
1180.0,800,709.456614
690.0,660,718.377644
1530.0,798,729.454718
1070.0,752,739.233418
250.0,706,748.13636
930.0,928,760.663373
430.0,410,811.727816
400.0,546,818.869591
2110.0,906,830.740839
480.0,405,836.34636
820.0,757,846.119511
330.0,392,850.901258
740.0,633,859.797286
430.0,530,867.399675
2710.0,972,880.467336
250.0,406,886.438571
570.0,596,930.004056
680.0,559,937.836863
680.0,725,947.744329
1120.0,746,957.411763
1130.0,642,966.199054
590.0,488,973.342098
320.0,332,978.154418
530.0,546,986.179964
690.0,677,996.151281
940.0,761,1007.560166
1260.0,943,1054.157563
480.0,401,1059.91586
980.0,650,1069.147199
1280.0,652,1078.154728
1510.0,779,1088.802244
1300.0,954,1100.432348
330.0,428,1106.185485
450.0,400,1111.724767
460.0,499,1118.885623
1610.0,795,1130.18337
660.0,542,1183.62257
1790.0,514,1191.040632
740.0,660,1200.57873
1170.0,821,1212.25748
580.0,537,1219.819838
490.0,508,1226.80142
700.0,759,1237.283876
1250.0,855,1248.48207
1270.0,822,1258.87601
780.0,499,1265.044535
590.0,598,1301.376564
550.0,536,1308.310419
1580.0,791,1317.954387
760.0,628,1326.516796
750.0,659,1335.473273
490.0,533,1342.526496
1460.0,837,1353.405004
1080.0,630,1362.416429
1180.0,696,1372.515666
1200.0,621,1438.070191
250.0,420,1443.683339
760.0,782,1453.115776
450.0,403,1457.95218
1150.0,813,1468.563075
1010.0,884,1479.970065
630.0,488,1486.499256
1290.0,878,1498.870171
460.0,553,1507.229896
630.0,524,1514.990821
2410.0,990,1551.349354
340.0,375,1556.194446
1350.0,767,1566.045202
390.0,450,1571.551286
1190.0,964,1583.895276
830.0,681,1592.576231
790.0,643,1600.899697
1280.0,604,1608.416375
1120.0,631,1616.733994
600.0,588,1654.888488
1030.0,746,1665.406952
620.0,785,1676.799458
950.0,853,1689.01105
820.0,506,1696.386162
880.0,665,1706.18032
1180.0,652,1715.732415
960.0,655,1724.914805
1610.0,920,1738.415632
420.0,489,1787.756201
1180.0,644,1797.042643
1010.0,746,1806.876941
2690.0,1162,1822.177819
1420.0,719,1831.743473
810.0,568,1839.582947
1020.0,987,1853.997331
420.0,391,1859.970539
1170.0,663,1869.771781
480.0,506,1920.181157
1110.0,926,1931.936343
2160.0,682,1940.219273
1110.0,887,1950.7183
690.0,550,1957.561407
830.0,608,1965.12739
1060.0,661,1973.273949
1270.0,859,1983.447072
1000.0,737,1992.15908
770.0,574,2036.115986
1050.0,877,2046.478698
1000.0,697,2055.104691
1380.0,1006,2068.561738
1140.0,951,2080.401269
1200.0,785,2090.226424
380.0,465,2096.484029
900.0,651,2104.547637
640.0,466,2149.693922
940.0,715,2158.862313
1090.0,886,2170.570384
630.0,518,2176.685155
1640.0,1000,2189.271673
970.0,723,2199.294539
1160.0,899,2210.561391
1060.0,795,2220.208393
1600.0,861,2265.817165
920.0,786,2274.227834
720.0,762,2282.409594
1230.0,982,2294.842552
890.0,669,2302.593962
1420.0,778,2311.965596
1100.0,826,2322.308161
1170.0,930,2333.922136
1260.0,713,2372.155788
960.0,707,2379.86065
820.0,741,2387.98527
430.0,453,2393.203106
1220.0,948,2403.660161
700.0,796,2412.457084
1910.0,1199,2425.857304
630.0,624,2432.735994
2690.0,1104,2467.913775
590.0,602,2474.157771
820.0,658,2480.897964
690.0,675,2488.054995
770.0,550,2493.826786
790.0,616,2500.660205
1270.0,810,2509.450774
1150.0,716,2517.464134
