# {"t_start": 1680546320.9914882, "env_id": "MsPacmanNoFrameskip-v4"} 
r,l,t
940.0,931,28.738449
1750.0,765,44.281597
670.0,687,58.261359
400.0,441,66.967175
450.0,655,80.062293
530.0,668,93.736134
1040.0,988,114.578202
270.0,584,125.715601
290.0,521,135.730103
400.0,592,190.245571
1120.0,652,201.999154
720.0,777,216.08569
310.0,689,229.554301
510.0,592,241.397557
530.0,677,254.896147
860.0,710,269.055463
660.0,587,280.835354
420.0,572,292.22588
330.0,623,353.965003
480.0,470,363.271667
400.0,673,374.996452
860.0,805,389.299271
820.0,669,401.38131
1400.0,805,416.53363
520.0,674,429.337046
410.0,431,437.250048
460.0,714,450.788441
370.0,639,462.850592
300.0,486,518.916945
1090.0,736,532.732744
1290.0,874,550.192375
990.0,750,565.015732
280.0,484,574.1454
770.0,690,587.320321
580.0,849,603.784141
350.0,420,612.338671
1440.0,779,628.237914
630.0,839,706.691901
960.0,672,721.392484
460.0,528,733.15761
660.0,519,744.627294
360.0,385,753.252589
410.0,384,761.75455
860.0,609,775.421835
330.0,449,785.232668
660.0,709,799.715837
1020.0,808,815.98584
290.0,380,823.137142
700.0,698,888.061139
450.0,551,899.70035
1520.0,942,919.487747
790.0,560,931.337422
1330.0,812,948.745463
1090.0,982,969.828537
1600.0,798,986.210922
290.0,458,996.173078
390.0,480,1006.937626
660.0,663,1072.110418
600.0,620,1085.413604
500.0,405,1094.047716
1090.0,634,1108.327205
320.0,418,1117.618524
530.0,712,1133.056069
540.0,617,1146.34341
1000.0,906,1163.703029
540.0,611,1175.855
1620.0,844,1193.787966
390.0,449,1257.537091
1490.0,845,1276.33028
550.0,464,1286.57082
680.0,484,1296.993086
760.0,650,1310.815041
820.0,826,1328.416497
1560.0,924,1348.680429
660.0,576,1362.192508
770.0,694,1378.570445
600.0,843,1519.4822
1690.0,828,1792.976751
2080.0,728,2029.305727
700.0,627,2233.702097
1510.0,1074,2588.408954
560.0,545,2771.865484
480.0,491,2924.69848
630.0,482,3079.765285
760.0,601,3284.205742
700.0,692,3547.24465
440.0,387,3673.014471
710.0,591,3867.86475
1370.0,939,4160.483558
1300.0,927,4461.446183
250.0,362,4583.616268
1450.0,887,4851.104191
320.0,474,5011.907185
440.0,433,5144.237934
600.0,465,5300.246296
1160.0,735,5530.332741
770.0,680,5805.24403
1320.0,930,6095.444402
1140.0,669,6303.452435
380.0,315,6389.39193
750.0,797,6635.45672
410.0,492,6797.304996
760.0,601,6999.731616
320.0,451,7135.194112
380.0,405,7258.667308
1130.0,899,7546.967226
380.0,392,7746.034139
370.0,402,7881.607562
350.0,412,7992.775301
770.0,736,8225.068861
190.0,309,8311.778549
890.0,656,8526.007201
1360.0,669,8741.627618
570.0,535,8912.547227
960.0,712,9144.101301
660.0,510,9294.300417
