# {"t_start": 1680544847.737537, "env_id": "MsPacmanNoFrameskip-v4"} 
r,l,t
420.0,884,26.015669
600.0,634,36.96694
600.0,729,48.954282
520.0,594,58.813534
1060.0,727,70.798756
320.0,845,85.076342
1280.0,807,98.413739
700.0,559,108.424817
360.0,500,167.643497
590.0,601,180.024138
1220.0,835,197.06627
470.0,650,210.696095
230.0,458,220.171536
1260.0,769,234.967262
590.0,576,245.564987
590.0,581,256.363929
430.0,454,263.7758
380.0,677,274.811712
410.0,609,285.508066
400.0,610,337.929601
320.0,507,346.651439
980.0,796,360.796851
310.0,367,367.53539
440.0,651,380.704446
600.0,618,393.269094
770.0,987,413.46809
820.0,804,429.074027
320.0,518,438.959104
1110.0,812,504.0634
410.0,613,514.825552
480.0,400,521.911063
790.0,768,534.768831
430.0,443,541.99134
490.0,540,551.408153
400.0,391,558.170054
420.0,511,567.000741
160.0,282,571.885279
1150.0,713,584.351001
310.0,385,591.137284
1040.0,710,603.515465
1130.0,1041,667.259201
260.0,493,677.256628
800.0,720,692.309047
1120.0,932,710.979003
910.0,682,724.278933
760.0,715,738.384154
800.0,766,753.496535
860.0,843,769.939344
780.0,645,822.732858
360.0,422,829.488486
580.0,839,843.116549
630.0,636,853.448384
270.0,486,861.697952
960.0,633,873.14841
1050.0,972,890.971634
430.0,436,898.92764
220.0,306,904.585545
400.0,449,913.064577
520.0,494,923.031467
690.0,532,1001.392806
1150.0,981,1019.64014
730.0,675,1031.719838
300.0,432,1039.503589
540.0,573,1049.027539
1130.0,818,1062.984451
640.0,466,1071.580118
600.0,732,1085.08844
790.0,747,1098.823584
1600.0,797,1148.41712
940.0,796,1162.347974
1300.0,652,1173.851433
320.0,464,1182.008592
810.0,805,1196.341369
520.0,646,1208.070182
490.0,504,1217.158913
1020.0,768,1231.214072
1230.0,725,1245.494927
500.0,471,1255.093309
410.0,464,1353.678566
640.0,607,1444.502903
1350.0,747,1617.706583
460.0,439,1700.121623
560.0,526,1829.335267
1280.0,784,1984.291105
1660.0,957,2188.633613
470.0,425,2289.760315
520.0,465,2372.928073
810.0,721,2530.518229
1470.0,610,2710.172505
960.0,695,2865.113048
830.0,915,3091.021446
640.0,728,3297.294597
650.0,744,3504.897122
530.0,592,3668.749974
960.0,726,3877.347998
1330.0,788,4089.110216
450.0,514,4234.113709
470.0,478,4418.821258
300.0,379,4520.542429
810.0,737,4726.053056
1470.0,789,4934.221154
1440.0,724,5134.030946
1040.0,899,5380.101558
600.0,519,5520.317648
380.0,398,5617.539523
1250.0,723,5827.188011
520.0,478,5947.433589
370.0,426,6108.730108
1180.0,723,6303.971179
1200.0,733,6507.302997
1230.0,889,6739.727604
800.0,671,6922.97246
1440.0,813,7120.65334
570.0,513,7258.5112
1020.0,687,7431.104386
400.0,411,7544.646369
470.0,528,7684.867919
790.0,621,7912.589678
600.0,523,8038.013212
300.0,450,8166.92867
440.0,504,8297.340969
1350.0,739,8506.414035
300.0,430,8614.126114
2490.0,886,8836.914868
790.0,812,9053.201667
1790.0,811,9233.289619
890.0,595,9401.743114
850.0,646,9631.609133
