# {"t_start": 1681378703.4613135, "env_id": "SkiingNoFrameskip-v4"} 
r,l,t
-29968.0,4503,83.366038
-29987.0,4505,564.691932
-29980.0,4504,1041.86331
-29962.0,4502,1117.764759
-29977.0,4504,1591.661095
-29977.0,4504,2068.311884
-29968.0,4503,2544.844704
-29970.0,4503,2617.699939
-29980.0,4504,3096.267384
-29960.0,4501,3567.033065
-29975.0,4504,3643.399234
-29987.0,4505,4114.689383
-29983.0,4505,4588.69834
-29975.0,4504,5054.400617
-29965.0,4502,5130.415448
-29968.0,4503,5254.88213
-29982.0,4505,5725.932476
-29972.0,4503,5802.147772
-29952.0,4500,6275.770349
-29998.0,4507,6742.415818
-29962.0,4502,7209.620064
-29957.0,4501,7285.271678
-29990.0,4506,7755.505567
-29953.0,4500,7879.429021
-8968.0,522,7888.46187
-9005.0,527,7897.626147
-8971.0,522,7906.729321
-9001.0,527,7916.337703
-9000.0,526,7925.58484
-29950.0,4500,8399.033453
-29975.0,4504,8871.239772
-29960.0,4501,8947.10215
-29988.0,4506,9415.216207
-29982.0,4505,9884.776786
-29962.0,4502,10356.477342
-29978.0,4504,10431.582172
-29970.0,4503,10905.974265
-29953.0,4500,11373.220988
-29987.0,4505,11449.199816
-29987.0,4505,11918.150689
-29975.0,4504,12384.442908
-29995.0,4507,12851.609544
-29965.0,4502,12927.677278
-29957.0,4501,13399.206736
-29983.0,4505,13871.430689
-29967.0,4502,13947.712838
-17797.0,1623,14371.229084
-29982.0,4505,14446.727461
-29985.0,4505,14919.227118
-29978.0,4504,15372.39553
-29963.0,4502,15806.765599
-29972.0,4503,15879.034187
-9001.0,527,15887.31459
-8988.0,525,15895.599906
-8963.0,521,15950.66301
-29980.0,4504,16021.906313
-26074.0,2491,16107.171813
-28111.0,3247,16158.027515
-28211.0,3112,16252.98646
-29952.0,4500,16324.46461
-29970.0,4503,16753.966278
-25740.0,2440,17150.128186
-29987.0,4505,17216.398419
-29970.0,4503,17328.232985
-32400.0,3666,17725.179274
-22117.0,2197,17758.691331
-33446.0,3899,18164.180874
-29962.0,4502,18229.718126
-18667.0,1753,18592.004922
-29950.0,4500,18657.746407
-20988.0,1877,19021.130218
-22075.0,1965,19050.638944
-29987.0,4505,19448.807461
-29988.0,4506,19512.387295
-8988.0,525,19519.843946
-8963.0,521,19527.459098
-18738.0,1764,19595.962345
-31472.0,3677,19648.816251
-22770.0,2295,20010.529063
-26846.0,2757,20049.877067
-32100.0,3471,20420.047859
-32553.0,3539,20469.04353
-29962.0,4502,20845.96326
-35285.0,4325,20947.384769
-25146.0,2501,20982.638666
-29999.0,3456,21351.209919
-25557.0,2563,21386.90849
-26199.0,2735,21466.962142
-8996.0,526,21474.420212
-25326.0,2679,21512.020621
-27794.0,3275,21599.410544
-33832.0,3806,21652.150736
-28581.0,2942,22009.951255
-33625.0,3850,22063.186799
-30509.0,3307,22422.6742
-32291.0,3425,22469.590516
-29973.0,4503,22842.400779
-21705.0,1984,22869.064949
-22637.0,2124,23226.22147
-35888.0,4341,23285.629872
-36831.0,4182,23663.500909
-27380.0,2762,23700.812128
-34904.0,4118,24073.718235
-22748.0,2066,24101.710073
-23863.0,2459,24460.058965
-20281.0,1846,24485.306666
-31626.0,3475,24573.459419
-25496.0,2479,24607.005193
-8973.0,522,24614.19211
-25904.0,2690,24972.03492
-29950.0,4500,25033.453554
-30351.0,3584,25124.542074
-36477.0,3978,25498.359676
-20700.0,1909,25524.182271
-21738.0,2590,25559.980979
-24298.0,2374,25634.327197
-29982.0,4505,25695.812549
-26787.0,2748,26047.916859
-35313.0,4029,26102.098315
-27229.0,2814,26181.635526
-25947.0,2622,26217.000062
-33498.0,3606,26568.538414
-29970.0,4503,26935.14865
-36675.0,4158,26990.479511
-25333.0,2605,27065.306063
-37241.0,4319,27123.871116
-21633.0,1974,27463.16166
-29661.0,3105,27505.397455
-21962.0,2173,27837.469676
-24046.0,2411,27869.732209
-23139.0,2350,27901.428778
-22426.0,2018,28238.833061
-29290.0,3049,28279.603653
-32961.0,3600,28652.148284
-34690.0,4161,28707.336366
-22464.0,2174,29052.420892
-28237.0,2966,29092.744673
-24018.0,2332,29428.531399
-29973.0,4503,29487.416119
-27126.0,2949,29825.925001
-29965.0,4502,29885.822491
-21066.0,1888,30219.106081
-29998.0,4507,30581.508584
-27947.0,2997,30621.020652
-18598.0,1968,30647.687967
-20420.0,1716,30969.590573
-26027.0,2559,31002.045794
-20174.0,1830,31026.055365
-37381.0,4415,31407.257126
-36936.0,4198,31505.347072
-33200.0,3862,31559.068621
-35974.0,4053,31875.370046
-30758.0,3495,31914.747213
-22646.0,2351,31975.712574
-32121.0,3399,32014.04994
-29821.0,3279,32085.315419
-29258.0,3194,32121.295682
-24706.0,2661,32183.470906
-28954.0,2998,32217.473458
-25073.0,2716,32494.965026
-32182.0,3483,32534.485493
-37414.0,4420,32847.552229
-34802.0,3877,32925.100704
-36933.0,4197,32972.528697
-29622.0,3324,33276.895768
-22368.0,2159,33301.514927
-23282.0,2221,33585.945459
-26265.0,2519,33614.535635
-37318.0,4330,33698.023004
-21099.0,1818,33718.656329
-26676.0,2581,33748.092347
-33327.0,3655,34055.074587
-23099.0,2119,34079.124033
-34415.0,4194,34158.808077
-34620.0,4000,34472.992291
-28321.0,3054,34507.553298
-32534.0,3611,34815.887349
-37443.0,4274,34864.090519
-18019.0,1506,35147.047472
-36061.0,4367,35196.626617
-20709.0,2210,35481.514783
-22241.0,2215,35507.058609
-25545.0,2561,35536.35857
-28174.0,2956,35835.955368
-22699.0,2209,35861.134623
-16019.0,1356,35876.91773
-25659.0,2654,36174.153073
-25882.0,2837,36206.52603
