# {"t_start": 1681213667.1395764, "env_id": "SkiingNoFrameskip-v4"} 
r,l,t
-29950.0,4500,67.233642
-29975.0,4504,413.762593
-29963.0,4502,1040.704415
-29950.0,4500,1461.098699
-29977.0,4504,2123.665712
-29972.0,4503,2791.171402
-29957.0,4501,3454.229438
-29995.0,4507,3847.665382
-29977.0,4504,4506.229202
-29982.0,4505,5170.842367
-29955.0,4501,5602.207999
-29965.0,4502,6332.820959
-29977.0,4504,7061.159167
-29970.0,4503,7535.596298
-9003.0,527,7586.923096
-8981.0,524,7639.921696
-9001.0,527,7691.905347
-8966.0,521,7741.892721
-8963.0,521,7793.03339
-8966.0,521,7844.629935
-8986.0,524,7896.927716
-29952.0,4500,8379.098362
-35821.0,4406,9107.050177
-16109.0,1219,9222.948942
-18317.0,1400,9364.174744
-20156.0,1526,9514.167123
-15782.0,1245,9638.387132
-21921.0,1942,10108.478906
-17687.0,1381,10243.686984
-16880.0,1335,10375.468031
-17026.0,1357,10508.519131
-16703.0,1158,10908.835415
-18790.0,1547,11066.985697
-18293.0,1322,11196.921779
-15430.0,1042,11297.594137
-17269.0,1468,11440.85812
-16081.0,989,11577.283234
-16030.0,1282,11701.239115
-18561.0,1362,11839.483385
-17628.0,1447,11982.641768
-19591.0,1517,12418.688369
-15913.0,1265,12540.593508
-16657.0,1376,12679.485889
-19969.0,1573,12833.799037
-20222.0,1611,12990.190333
-16064.0,1437,13171.009398
-15621.0,1146,13282.643826
-16218.0,1310,13412.476359
-17228.0,1312,13540.666241
-16396.0,1112,13649.019809
-15123.0,1071,13792.556492
-15440.0,1118,13902.015691
-15829.0,1252,14023.870375
-16784.0,1395,14159.59324
-18006.0,1354,14293.076409
-17675.0,1304,14712.624722
-18064.0,1362,14843.122328
-18021.0,1506,14991.414551
-16581.0,1365,15126.65626
-13411.0,1039,15521.712723
-19871.0,1484,15665.788145
-14710.0,1084,15776.36221
-16283.0,1320,15907.716103
-17768.0,1318,16035.570352
-14705.0,1083,16178.421022
-16158.0,1151,16289.281693
-14306.0,948,16382.851892
-18505.0,1429,16523.778464
-20261.0,1617,16684.842759
-18059.0,1437,16860.758397
-19812.0,1475,17001.78148
-16932.0,1267,17126.022199
-16778.0,1319,17256.504096
-16307.0,1174,17375.119861
-17078.0,1214,17530.747757
-17809.0,1249,17650.139903
-16750.0,1165,17762.546948
-20140.0,1674,17925.636771
-17419.0,1491,18071.646927
-16102.0,1218,18482.876206
-19900.0,1563,18634.853318
-16349.0,1180,18748.861922
-14192.0,1081,18854.402019
-15592.0,916,18945.04423
-17758.0,1392,19122.444709
-16575.0,1139,19230.841959
-18313.0,1625,19388.176068
-16622.0,1371,19520.898928
-16790.0,1321,19700.339392
-19548.0,1585,19856.989509
-17870.0,1258,19982.26957
-17675.0,1379,20117.81184
-14941.0,1043,20219.370414
-19240.0,1614,20683.53859
-16363.0,1332,20815.18541
-17078.0,1139,20928.441417
-15917.0,1190,21048.494656
-19055.0,1586,21208.592302
-15419.0,1265,21627.523453
-16029.0,1282,21754.508414
-17546.0,1360,21888.218948
-19692.0,1457,22032.078752
-19823.0,1627,22505.308273
-17613.0,1295,22627.702902
-16819.0,1401,22760.246775
-18645.0,1450,22905.083112
-16187.0,1080,23012.303895
-18161.0,1527,23200.220542
-15070.0,1063,23301.6669
-18151.0,1225,23418.722116
-18992.0,1502,23567.972795
-19968.0,1648,24026.160345
-17066.0,1212,24141.953769
-16534.0,1208,24257.53559
-17890.0,1336,24388.977028
-14337.0,1028,24491.444473
-15289.0,1021,24590.159979
-14943.0,1269,24749.106726
-16848.0,1480,24891.911771
-20016.0,1505,25038.08411
-17331.0,1628,25197.54641
-16856.0,1331,25365.910185
-14130.0,997,25462.576902
-16377.0,1184,25575.723418
-17978.0,1500,25721.991203
-19179.0,1380,25855.88272
-19272.0,1544,26048.321598
-24633.0,2199,26261.589485
-17070.0,1288,26387.055107
-20046.0,1660,26839.111337
-18766.0,1693,27004.703021
-16497.0,1127,27115.022089
-17507.0,1279,27241.442148
-15835.0,1103,27347.640356
-16428.0,1267,27772.101176
-17849.0,1405,27908.40125
-13859.0,1031,28009.029859
-19553.0,1811,28185.739329
-16820.0,1100,28294.981302
-19158.0,1452,28477.294441
-15354.0,1030,28579.357206
-15707.0,1234,28698.578786
-17782.0,1545,28847.698326
-16522.0,1131,28957.867407
-18646.0,1900,29453.276765
-19848.0,1555,29606.684765
-15399.0,1187,29723.20819
-16908.0,1189,29840.013197
-15030.0,1132,29995.885765
-18712.0,1535,30144.714372
-19137.0,1599,30299.139898
-18214.0,1385,30433.925371
-18428.0,1342,30565.239561
-17068.0,1288,30993.821131
-12933.0,967,31086.941647
-13496.0,1202,31203.549453
-18100.0,1293,31327.589864
-17359.0,1557,31479.802198
-19396.0,1638,31682.609604
-16419.0,1265,31807.943322
-18169.0,1528,31954.867729
-20613.0,1820,32131.007706
-19645.0,1675,32599.866584
-18771.0,1619,32753.659081
-18692.0,1382,32887.114248
-18308.0,1549,33037.922035
-16876.0,1184,33446.720269
-15150.0,1225,33565.686319
