# {"t_start": 1680949356.1264946, "env_id": "TimePilotNoFrameskip-v4"} 
r,l,t
4000.0,1320,26.190262
4300.0,1726,47.463501
4400.0,2076,73.049227
4400.0,1736,173.794723
4200.0,1856,196.737688
4200.0,1944,221.258085
4500.0,1831,244.339367
700.0,858,358.725116
4200.0,1595,378.809132
4600.0,1818,401.555983
4800.0,1932,425.24037
4100.0,1775,508.527069
5000.0,2072,534.356002
3900.0,2014,559.371174
4700.0,2649,694.799667
4300.0,2068,721.079536
1400.0,1699,742.838722
1000.0,1877,848.25523
4400.0,2003,874.539848
4100.0,1834,897.952779
800.0,875,909.087915
1000.0,1260,1010.09494
4100.0,1642,1031.153986
4700.0,2118,1057.781847
4200.0,1839,1205.861601
1100.0,1545,1225.664917
1400.0,2080,1252.109321
4200.0,1628,1272.734213
4200.0,2125,1400.218197
600.0,1235,1415.824094
4500.0,1992,1440.803395
800.0,1571,1460.429617
4400.0,1521,1579.728446
4500.0,2027,1604.941802
4500.0,2575,1637.563845
800.0,1441,1759.735007
4100.0,1494,1778.794378
600.0,1518,1797.934126
4200.0,1729,1819.593187
900.0,1395,1937.884311
800.0,1319,1954.0159
4500.0,2305,1982.481384
1100.0,1325,1998.914302
4100.0,1609,2120.20328
4300.0,2611,2153.224004
600.0,1048,2166.415503
4100.0,1295,2182.684578
4000.0,1553,2305.605144
4300.0,2313,2335.076987
3900.0,2259,2364.058717
4500.0,1831,2490.626283
4000.0,2170,2517.920768
1300.0,2045,2543.921479
4800.0,2240,2652.362955
1300.0,2081,2678.700201
500.0,763,2688.301675
8800.0,3795,2832.014831
4300.0,2331,2861.322369
4700.0,2219,2970.734779
4000.0,2076,2996.485156
4500.0,2279,3024.480111
4400.0,1613,3044.379424
4100.0,2186,3178.979313
8500.0,3332,3221.229537
4300.0,1821,3347.785889
4300.0,1723,3369.389738
4000.0,1254,3385.069484
4100.0,1582,3404.818393
1400.0,2005,3489.626514
4300.0,1633,3510.045038
4200.0,2003,3535.057834
4400.0,1576,3637.377824
1000.0,1566,3656.640214
4100.0,1382,3673.789854
1000.0,1357,3690.646378
800.0,1308,3706.770801
4400.0,2727,3821.255522
4600.0,1936,3845.682784
4100.0,1477,3864.319113
4800.0,2365,4014.119021
4400.0,1911,4037.982775
3900.0,1342,4054.781756
4600.0,1815,4141.179962
4100.0,1735,4163.335391
4300.0,2080,4189.30204
1200.0,1292,4205.316751
500.0,1694,4328.275649
700.0,916,4340.069001
1000.0,1693,4361.253025
900.0,1465,4379.448549
4200.0,2055,4526.351437
4500.0,2040,4552.529264
300.0,1143,4566.993952
700.0,1475,4585.96222
3800.0,2155,4710.853476
4600.0,1651,4731.622914
3900.0,1080,4745.1566
900.0,1344,4762.056132
800.0,1513,4883.613485
4000.0,1640,4903.989242
4200.0,2071,4929.704116
700.0,1364,4946.593617
4700.0,2386,5058.556901
4500.0,1679,5079.824048
1200.0,1471,5098.163329
4600.0,1806,5182.383728
4100.0,1488,5201.06952
4300.0,1934,5226.311601
4200.0,2023,5252.321023
4900.0,1986,5340.406049
1000.0,1241,5356.139905
4100.0,1578,5376.029605
4300.0,1816,5398.89499
4700.0,2481,5530.66732
4500.0,1784,5553.214639
900.0,1148,5568.113869
800.0,1511,5691.573255
1200.0,1498,5710.488019
900.0,1733,5732.449019
4800.0,2189,5760.269016
800.0,1373,5899.737264
1100.0,1804,5922.722774
1100.0,1672,5944.139425
4100.0,1941,6048.983493
4000.0,1468,6067.224638
4400.0,1815,6089.991563
600.0,1059,6103.202077
4500.0,1943,6230.302913
4100.0,1521,6249.817396
