# {"t_start": 1680879156.8371773, "env_id": "TimePilotNoFrameskip-v4"} 
r,l,t
8400.0,2937,41.75211
4300.0,1248,57.577563
4200.0,1664,78.831835
4700.0,2116,204.486462
4000.0,2157,232.201906
4300.0,2188,260.047659
3900.0,1444,336.33838
4300.0,1522,354.877281
800.0,1624,374.783134
3900.0,1972,398.558378
600.0,1007,481.861858
4400.0,1606,501.561667
700.0,1335,518.048623
800.0,1650,538.308067
4100.0,1524,614.221767
4800.0,2811,648.330708
4300.0,1434,665.451578
800.0,1525,780.042112
700.0,987,792.062614
4500.0,2735,824.744438
4200.0,1366,840.865074
5000.0,2386,978.67354
4500.0,2252,1005.84419
4100.0,1342,1021.773729
1200.0,1394,1096.429117
4400.0,1986,1120.602568
4700.0,1964,1144.18431
1300.0,1921,1167.116862
4400.0,2158,1292.277045
1300.0,1348,1308.816241
800.0,1603,1328.034754
3800.0,1700,1421.937209
4800.0,2604,1453.310472
4000.0,1456,1470.921614
3800.0,1528,1489.145196
4300.0,1907,1602.537977
4700.0,2169,1628.692507
4600.0,2057,1653.328539
4000.0,1413,1761.096104
700.0,1806,1781.050685
4500.0,2062,1806.374659
4500.0,2800,1927.741068
4000.0,1319,1943.208604
4100.0,1469,1960.76753
4500.0,1782,1982.238145
4100.0,1874,2094.572039
3900.0,1487,2112.455148
800.0,1251,2127.901182
7800.0,2342,2236.279721
700.0,1114,2249.954824
600.0,1269,2265.696871
4700.0,1970,2289.862855
1100.0,1244,2305.2302
4100.0,1432,2381.380251
600.0,791,2391.1675
5100.0,3012,2428.786603
4300.0,2135,2511.978898
700.0,1000,2524.261791
4000.0,1201,2538.944525
4100.0,1477,2557.226274
4400.0,1455,2574.973784
4200.0,1467,2647.626589
4100.0,1314,2663.491413
800.0,950,2674.951689
3900.0,1583,2694.081861
4400.0,1495,2712.123538
4200.0,1753,2790.537437
600.0,1182,2805.239822
4000.0,1787,2827.216918
600.0,1031,2839.582951
4700.0,1987,2919.044092
700.0,1145,2933.087506
4200.0,1786,2955.06401
900.0,988,2967.141042
4400.0,1484,3040.587056
4200.0,1352,3056.915346
3900.0,935,3068.373604
8200.0,2413,3098.572485
600.0,826,3108.839687
8000.0,2340,3211.886949
4100.0,1426,3229.436187
4300.0,1457,3247.047435
700.0,916,3258.091048
1100.0,1133,3326.426328
