# {"t_start": 1681141635.9592302, "env_id": "TimePilotNoFrameskip-v4"} 
r,l,t
800.0,1202,20.408672
4100.0,1843,43.111896
4100.0,1414,60.242174
4200.0,1911,177.303578
1900.0,1997,200.75672
3900.0,1162,214.697709
800.0,1696,319.318937
4300.0,1907,550.807054
3800.0,1303,660.913294
700.0,927,738.890772
700.0,1185,840.693295
4500.0,2075,1018.368744
4000.0,1452,1234.698348
1000.0,1226,1338.248232
4200.0,1967,1507.947727
1200.0,1285,1619.65387
4800.0,2462,1927.229612
4100.0,1820,2083.991364
600.0,981,2168.291668
800.0,1202,2270.565523
4800.0,2656,2562.983729
4000.0,1455,2687.993021
8200.0,2730,3001.713551
3900.0,2045,3179.544933
4900.0,2345,3382.627958
4900.0,2247,3637.931486
4400.0,1545,3770.045691
4600.0,2266,3966.238914
3900.0,1400,4087.334979
800.0,1232,4262.678752
4300.0,1951,4429.880215
500.0,845,4503.76617
4100.0,1283,4611.087719
1100.0,1298,4721.611653
4400.0,2219,4997.451188
4900.0,2822,5237.340951
4200.0,1358,5351.020391
7800.0,2437,5623.211854
4100.0,2266,5814.986193
4100.0,1793,5965.802825
7700.0,2631,6248.68884
4000.0,1369,6363.647657
4100.0,1558,6494.33109
8100.0,3129,6828.981079
7800.0,3040,7087.529859
4200.0,2072,7336.123963
500.0,1183,7435.694199
4100.0,1365,7550.385627
4300.0,2358,7750.35114
4100.0,1502,7933.064034
3800.0,1652,8073.092407
4200.0,2012,8243.825691
4600.0,2269,8509.029192
4200.0,1681,8651.126672
4100.0,1392,8768.365023
4400.0,2033,8940.07174
4800.0,1866,9169.015373
4800.0,2367,9371.44345
700.0,1074,9461.813877
1000.0,1511,9644.985839
4000.0,1572,9778.895647
4700.0,1990,9946.944557
800.0,1178,10046.615493
4800.0,2670,10349.988478
4000.0,1278,10459.690898
3900.0,1660,10599.565189
4200.0,1518,10729.589409
3900.0,1476,10909.445935
4100.0,1707,11054.714401
4000.0,1818,11211.031187
900.0,1139,11310.219532
3900.0,1363,11477.21506
1100.0,1939,11640.385908
4000.0,1391,11758.203899
4500.0,2424,12015.956038
4800.0,2237,12204.434586
4500.0,2932,12456.639252
4300.0,1575,12644.97352
4000.0,1533,12774.153924
4500.0,2255,12968.306371
1000.0,1055,13056.480032
4000.0,1668,13255.89632
4700.0,1715,13401.109946
900.0,982,13484.072377
4100.0,1843,13641.841593
4000.0,914,13718.279963
7900.0,2169,13961.872195
4600.0,2190,14151.259293
500.0,835,14220.739675
3900.0,1282,14376.148772
4400.0,1888,14535.534572
900.0,1162,14635.99397
800.0,996,14722.084451
3900.0,1433,14842.191999
800.0,815,14956.700553
800.0,1027,15042.494543
4100.0,1435,15163.870364
3900.0,1567,15299.514564
4300.0,1114,15395.149407
1200.0,1564,15573.364947
4500.0,1484,15698.511165
900.0,1332,15813.139717
1300.0,1097,15905.190348
4800.0,1937,16070.68261
700.0,1117,16218.5699
4100.0,1159,16317.500533
4400.0,1591,16453.483358
800.0,1179,16552.514818
1000.0,1561,16747.528519
600.0,903,16823.656927
600.0,969,16906.238477
8000.0,3008,17163.895573
4200.0,1287,17319.88842
4100.0,1309,17432.478766
700.0,949,17513.785916
4300.0,1542,17644.056807
3800.0,1125,17739.220565
4100.0,1566,17927.489761
800.0,1063,18018.060843
4000.0,1140,18116.481349
4300.0,1482,18241.380712
1000.0,1031,18327.729549
4500.0,2043,18569.615155
3800.0,979,18654.529548
4200.0,1161,18754.174167
4100.0,1036,18842.942426
900.0,978,18925.070956
4700.0,1870,19131.561905
3800.0,916,19209.963335
3900.0,985,19292.364962
800.0,825,19361.899098
800.0,1129,19457.292032
4200.0,1215,19560.134459
900.0,763,19624.239261
4200.0,1200,19769.029742
3800.0,1256,19875.261818
800.0,1125,19970.850644
4100.0,1179,20071.625596
4000.0,1234,20177.57529
800.0,756,20286.419694
900.0,984,20369.435668
4500.0,1707,20513.198483
4100.0,935,20591.111872
500.0,883,20665.202876
4200.0,1563,20866.9386
3900.0,1050,20956.253225
800.0,993,21039.960808
1000.0,1058,21128.801417
800.0,1008,21213.851032
4100.0,1408,21334.051513
4000.0,949,21471.806975
4300.0,1389,21590.66278
8200.0,2287,21785.607041
4000.0,1856,21942.99478
700.0,783,22063.362743
4100.0,1115,22157.54095
1000.0,1223,22262.574161
4400.0,1417,22385.104465
700.0,920,22463.593117
4000.0,1575,22639.032697
3800.0,1046,22726.5996
900.0,917,22803.272348
4400.0,1214,22905.099251
1000.0,1116,23001.07069
4600.0,1784,23155.368055
4800.0,1776,23350.429422
4200.0,1184,23449.91926
3800.0,825,23518.927234
4600.0,1618,23656.826104
4100.0,995,23791.471471
700.0,759,23855.888264
900.0,834,23926.571342
4000.0,994,24010.292242
500.0,731,24071.204763
900.0,931,24149.988472
4400.0,1921,24313.214954
500.0,718,24416.940041
4400.0,1572,24551.18879
4400.0,1273,24660.270657
500.0,785,24727.255433
800.0,884,24801.891474
3900.0,861,24874.388903
4200.0,1525,25045.498873
4200.0,1264,25152.963055
900.0,920,25231.290004
4300.0,1315,25342.864731
4000.0,1043,25432.47473
1300.0,1369,25598.730268
4200.0,1496,25724.894746
3800.0,1019,25812.362667
800.0,763,25877.22049
3900.0,883,25951.958683
700.0,831,26021.987288
3900.0,1274,26181.415061
700.0,1133,26277.299315
900.0,862,26350.492861
